State,Year,Median age years,Percent Male,Percent White,Percent BA or higher,Percent unemployed,Per capita income dollars
OH,2013,39.3,48.9,82.46,26.1,5.1,26354.0
OK,2013,36.2,49.5,73.12,23.8,3.8,24284.0
OR,2013,39.1,49.5,85.76,30.7,5.7,27048.0
PA,2013,40.6,48.9,81.63,28.7,5.2,28647.0
RI,2013,39.9,48.8,80.47,32.4,6.0,30748.0
SC,2013,38.6,48.6,67.23,26.1,5.7,23687.0
SD,2013,36.6,50.2,85.11,26.6,2.8,25860.0
TN,2013,38.5,48.9,77.9,24.8,5.3,24678.0
TX,2013,34.0,49.7,75.02,27.5,4.5,26327.0
UT,2013,30.2,50.3,87.37,31.3,3.7,24250.0
VT,2013,42.5,49.3,94.98,35.7,3.8,29136.0
VA,2013,37.6,49.2,69.33,36.1,4.3,33145.0
WA,2013,37.4,49.9,78.03,32.7,5.0,30672.0
WV,2013,41.7,49.4,93.71,18.9,4.6,23159.0
WI,2013,39.0,49.7,86.6,27.7,4.3,27448.0
WY,2013,36.6,51.1,90.67,26.6,3.4,28889.0
AL,2014,38.6,48.4,68.47,23.5,4.9,23606.0
AK,2014,33.3,52.3,65.64,28.0,5.1,33062.0
AZ,2014,36.9,49.7,78.34,27.6,4.7,25715.0
AR,2014,37.8,49.1,78.29,21.4,3.9,22883.0
CA,2014,36.0,49.6,61.37,31.7,5.3,30441.0
CO,2014,36.3,50.3,84.4,38.3,3.7,32357.0
CT,2014,40.5,48.8,76.85,38.0,5.3,39373.0
DE,2014,39.6,48.5,69.21,30.6,4.2,30488.0
DC,2014,33.8,47.4,40.23,55.0,6.1,45877.0
FL,2014,41.6,48.9,75.97,27.3,4.7,26582.0
GA,2014,36.1,48.7,59.86,29.1,5.1,25615.0
HI,2014,38.1,50.5,25.41,31.0,3.3,29736.0
ID,2014,35.9,50.0,91.66,25.0,3.4,23938.0
IL,2014,37.5,49.1,72.13,32.8,5.3,30417.0
IN,2014,37.4,49.2,84.09,24.7,4.5,25140.0
IA,2014,38.2,49.7,91.33,27.7,3.0,28361.0
KS,2014,36.2,49.8,84.92,31.5,3.4,27870.0
KY,2014,38.5,49.3,87.42,22.2,4.5,23684.0
LA,2014,36.1,48.9,62.78,22.9,4.4,24800.0
ME,2014,44.1,48.7,94.75,29.4,3.7,27978.0
MD,2014,38.3,48.5,57.44,38.2,4.8,36338.0
MA,2014,39.4,48.5,79.27,41.2,4.5,37288.0
MI,2014,39.6,49.1,78.88,27.4,5.0,26613.0
MN,2014,37.8,49.7,84.42,34.3,3.3,32638.0
MS,2014,36.7,48.7,58.82,21.1,5.6,21036.0
MO,2014,38.5,49.0,82.3,27.5,4.2,26126.0
MT,2014,39.6,50.2,89.35,29.3,3.1,25989.0
NE,2014,36.2,49.8,88.28,29.5,2.9,27446.0
NV,2014,37.4,50.3,68.02,23.1,5.6,25773.0
NH,2014,42.5,49.4,93.41,35.0,3.5,34691.0
NJ,2014,39.4,48.8,67.73,37.4,5.0,36593.0
NM,2014,37.2,49.5,73.14,26.4,5.1,23683.0
NY,2014,38.2,48.5,63.98,34.5,4.6,33095.0
NC,2014,38.3,48.7,69.08,28.7,5.1,25774.0
ND,2014,35.1,50.9,88.49,27.4,2.1,33071.0
OH,2014,39.4,49.0,82.13,26.6,4.5,26937.0
OK,2014,36.2,49.5,72.91,24.2,3.4,25229.0
OR,2014,39.3,49.5,84.59,30.8,4.8,27646.0
PA,2014,40.7,48.9,81.4,29.0,4.4,29220.0
RI,2014,39.8,48.5,81.34,30.4,5.0,30830.0
SC,2014,38.8,48.7,67.34,26.3,4.9,24596.0
SD,2014,36.6,50.1,84.95,27.8,2.7,26959.0
TN,2014,38.6,48.7,77.63,25.3,4.7,24922.0
TX,2014,34.3,49.7,75.18,27.8,3.9,27125.0
UT,2014,30.5,50.3,87.26,31.1,3.3,24877.0
VT,2014,42.8,49.2,94.46,34.9,3.6,29178.0
VA,2014,37.7,49.2,68.93,36.7,3.9,34052.0
WA,2014,37.5,50.0,77.67,33.1,4.1,31841.0
WV,2014,41.9,49.4,93.58,19.2,3.7,22714.0
WI,2014,39.2,49.6,86.26,28.4,3.5,28213.0
WY,2014,36.6,50.9,91.02,26.6,2.9,29698.0
AL,2015,38.7,48.4,68.53,24.2,4.1,24769.0
AK,2015,33.3,52.6,65.18,29.7,5.3,34352.0
AZ,2015,37.4,49.6,77.42,27.7,4.0,26721.0
AR,2015,37.9,49.1,77.5,21.8,3.3,23589.0
CA,2015,36.2,49.7,60.86,32.3,4.6,31587.0
CO,2015,36.4,50.2,84.44,39.2,3.5,33563.0
CT,2015,40.6,48.8,76.53,38.3,4.6,39430.0
DE,2015,39.7,48.4,69.23,30.9,3.6,31441.0
DC,2015,33.8,47.6,40.04,56.7,5.0,50187.0
FL,2015,41.8,48.8,75.76,28.4,4.1,27697.0
GA,2015,36.4,48.7,59.5,29.9,4.4,26810.0
HI,2015,37.7,50.6,26.0,31.4,3.0,31052.0
ID,2015,35.8,50.0,91.51,26.0,3.3,24273.0
IL,2015,37.7,49.1,71.84,32.9,4.5,31867.0
IN,2015,37.5,49.1,83.99,24.9,3.7,26396.0
IA,2015,38.1,49.6,90.49,26.8,2.8,28628.0
KS,2015,36.2,49.8,84.69,31.7,3.0,28852.0
KY,2015,38.8,49.1,87.36,23.3,3.8,25082.0
LA,2015,36.4,48.9,62.4,23.2,4.2,25456.0
ME,2015,44.6,49.0,94.64,30.1,3.3,28437.0
MD,2015,38.3,48.5,56.52,38.8,3.7,37522.0
MA,2015,39.4,48.5,79.08,41.5,3.9,38130.0
MI,2015,39.7,49.2,78.62,27.8,4.4,27865.0
MN,2015,37.9,49.7,84.06,34.7,2.9,33425.0
MS,2015,37.0,48.4,58.77,20.8,5.0,21291.0
MO,2015,38.4,49.0,82.37,27.8,3.3,27384.0
MT,2015,39.9,50.2,88.94,30.6,2.8,27735.0
NE,2015,36.1,49.7,88.18,30.2,2.2,29000.0
NV,2015,37.8,50.1,67.54,23.6,5.0,27220.0
NH,2015,42.8,49.4,93.59,35.7,2.9,35925.0
NJ,2015,39.6,48.8,67.65,37.6,4.3,37245.0
NM,2015,37.4,49.6,73.41,26.5,4.3,24388.0
NY,2015,38.3,48.6,63.76,35.0,4.1,34297.0
NC,2015,38.4,48.8,69.05,29.4,4.2,26801.0
ND,2015,34.9,51.3,88.24,29.1,1.8,34063.0
OH,2015,39.3,48.9,81.97,26.8,4.0,28001.0
OK,2015,36.3,49.6,72.57,24.6,3.3,25762.0
OR,2015,39.1,49.4,85.23,32.2,4.2,29117.0
PA,2015,40.7,48.9,81.13,29.7,3.9,30384.0
RI,2015,39.7,48.4,80.36,32.7,4.0,31888.0
SC,2015,39.0,48.7,67.24,26.8,4.3,25627.0
SD,2015,36.9,50.3,84.56,27.5,2.7,27624.0
TN,2015,38.7,48.7,77.71,25.7,3.8,26216.0
TX,2015,34.4,49.6,74.95,28.4,3.5,28210.0
UT,2015,30.6,50.3,87.16,31.8,2.7,25816.0
VT,2015,43.1,49.3,94.73,36.9,2.5,31216.0
VA,2015,37.8,49.2,68.21,37.0,3.5,34780.0
WA,2015,37.5,50.0,76.9,34.2,3.8,33486.0
WV,2015,42.2,49.3,93.42,19.6,3.9,23539.0
WI,2015,39.4,49.7,86.04,28.4,2.8,29563.0
WY,2015,36.5,50.3,91.51,26.2,3.3,31383.0
AL,2016,39.0,48.4,68.19,24.7,3.6,25810.0
AK,2016,33.5,52.6,64.42,29.6,5.4,34187.0
AZ,2016,37.5,49.7,75.82,28.9,3.8,27997.0
AR,2016,38.0,49.2,76.64,22.4,2.9,24264.0
CA,2016,36.4,49.7,59.67,32.9,4.1,33389.0
CO,2016,36.7,50.4,84.02,39.9,3.2,34542.0
CT,2016,40.9,48.8,76.67,38.6,4.2,41087.0
DE,2016,40.6,48.3,69.23,31.0,3.5,31712.0
DC,2016,33.9,47.5,40.7,56.8,4.8,50567.0
FL,2016,42.1,48.9,75.56,28.6,3.5,28621.0
GA,2016,36.5,48.7,58.73,30.5,3.7,28183.0
HI,2016,38.9,50.3,25.06,31.9,2.8,32634.0
ID,2016,36.1,50.0,89.72,27.6,2.9,25678.0
IL,2016,37.9,49.1,71.27,34.0,4.1,32849.0
IN,2016,37.6,49.3,83.47,25.6,3.2,27464.0
IA,2016,38.0,49.7,90.41,28.4,2.7,30047.0
KS,2016,36.5,49.8,84.58,32.8,2.9,28950.0
KY,2016,38.7,49.1,87.14,23.4,3.5,26046.0
LA,2016,36.5,49.0,61.98,23.4,4.1,25664.0
ME,2016,44.5,48.9,94.42,30.1,2.8,29604.0
MD,2016,38.5,48.5,56.47,39.3,3.6,38662.0
MA,2016,39.5,48.5,78.54,42.7,3.5,39771.0
MI,2016,39.7,49.2,78.5,28.3,3.8,29128.0
MN,2016,37.9,49.8,83.27,34.8,2.7,34515.0
MS,2016,37.2,48.2,58.51,21.8,4.4,22694.0
MO,2016,38.4,49.1,82.25,28.5,3.1,28406.0
MT,2016,40.1,50.5,88.96,31.0,3.0,28933.0
NE,2016,36.3,49.8,87.82,31.4,2.5,29910.0
NV,2016,37.9,50.1,66.89,23.5,4.2,28117.0
NH,2016,42.7,49.8,93.43,36.6,2.4,36320.0
NJ,2016,39.5,48.9,68.1,38.6,3.9,38911.0
NM,2016,37.7,49.5,73.98,27.2,4.3,25146.0
NY,2016,38.4,48.5,63.46,35.7,3.7,35534.0
NC,2016,38.7,48.6,68.88,30.4,3.8,28156.0
ND,2016,35.0,51.5,87.2,29.6,2.0,33339.0
OH,2016,39.3,49.0,81.59,27.5,3.6,29164.0
OK,2016,36.4,49.5,72.42,25.2,3.6,25880.0
OR,2016,39.2,49.5,84.42,32.7,3.5,30822.0
PA,2016,40.6,49.0,80.89,30.8,3.6,31272.0
RI,2016,40.2,48.4,80.47,34.1,3.8,33008.0
SC,2016,39.1,48.5,67.37,27.2,3.7,27016.0
SD,2016,36.8,50.3,84.69,28.9,2.6,28585.0
TN,2016,38.6,48.8,77.84,26.1,3.3,27087.0
TX,2016,34.5,49.6,74.3,28.9,3.6,28714.0
UT,2016,30.7,50.4,86.3,32.6,2.8,26993.0
VT,2016,43.1,49.3,94.36,36.4,2.6,31836.0
VA,2016,38.2,49.2,67.85,38.1,3.2,36206.0
WA,2016,37.7,49.9,75.69,35.1,3.4,35284.0
WV,2016,42.3,49.2,93.07,20.8,4.1,24769.0
WI,2016,39.4,49.7,85.52,29.5,2.7,30902.0
WY,2016,37.2,50.9,92.03,27.1,3.7,30042.0
AL,2017,38.9,48.4,67.96,25.5,3.3,26498.0
AK,2017,34.5,52.1,64.19,28.8,4.9,34222.0
AZ,2017,37.7,49.7,77.57,29.4,3.5,29420.0
AR,2017,38.1,49.3,76.33,23.4,3.2,25316.0
CA,2017,36.5,49.7,58.63,33.6,3.7,35046.0
CO,2017,36.8,50.3,84.19,41.2,2.8,36345.0
CT,2017,40.9,48.8,75.89,38.7,4.0,42029.0
DE,2017,40.1,48.4,68.83,31.5,3.1,33887.0
DC,2017,34.0,47.4,41.0,57.3,4.6,52500.0
FL,2017,42.0,48.9,75.14,29.7,3.2,29838.0
GA,2017,36.8,48.6,58.71,30.9,3.6,29668.0
HI,2017,39.2,50.2,25.02,32.9,2.6,33882.0
ID,2017,36.3,50.2,90.04,26.8,2.6,26386.0
IL,2017,38.0,49.2,71.24,34.4,4.0,34196.0
IN,2017,37.7,49.3,83.67,26.8,3.0,28323.0
IA,2017,38.3,49.7,90.0,28.9,2.4,30865.0
KS,2017,36.7,49.9,84.52,33.7,2.8,30146.0
KY,2017,38.9,49.3,86.94,24.0,3.2,26779.0
LA,2017,36.8,48.9,61.71,23.8,3.8,25885.0
ME,2017,44.6,49.0,94.44,32.1,2.6,31088.0
MD,2017,38.7,48.5,54.9,39.7,3.5,39960.0
MA,2017,39.5,48.6,78.54,43.4,3.0,41821.0
MI,2017,39.8,49.3,78.44,29.1,3.6,30488.0
MN,2017,37.9,49.9,82.68,36.1,2.5,36156.0
MS,2017,37.5,48.5,58.17,21.9,3.9,23121.0
MO,2017,38.5,49.1,82.01,29.1,2.9,29438.0
MT,2017,40.0,50.1,88.58,32.3,2.2,29428.0
NE,2017,36.5,50.0,87.35,31.7,2.3,30915.0
NV,2017,38.0,50.2,64.6,24.9,3.8,30166.0
NH,2017,43.2,49.6,93.07,36.9,2.6,38237.0
NJ,2017,39.8,48.8,67.87,39.7,3.5,40567.0
NM,2017,37.7,49.5,75.76,27.1,3.7,25311.0
NY,2017,38.7,48.6,63.09,36.0,3.5,37156.0
NC,2017,38.8,48.7,68.79,31.3,3.2,29560.0
ND,2017,35.4,51.4,86.59,30.7,2.1,34041.0
OH,2017,39.3,49.0,81.31,28.0,3.2,30038.0
OK,2017,36.6,49.6,72.18,25.5,3.2,26472.0
OR,2017,39.3,49.6,84.42,33.7,3.2,31950.0
PA,2017,40.8,49.0,80.74,31.4,3.3,32711.0
RI,2017,39.5,48.4,81.75,33.5,3.7,34511.0
SC,2017,39.4,48.5,67.28,28.0,3.5,27909.0
SD,2017,36.9,50.4,84.7,28.1,2.4,29611.0
TN,2017,38.6,48.7,77.75,27.3,3.0,28764.0
TX,2017,34.7,49.7,73.94,29.6,3.3,29525.0
UT,2017,31.0,50.4,85.66,34.6,2.4,28085.0
VT,2017,42.6,49.4,94.16,38.3,2.5,32443.0
VA,2017,38.2,49.2,67.47,38.7,2.9,37442.0
WA,2017,37.7,49.9,75.38,35.5,3.1,36975.0
WV,2017,42.4,49.4,92.76,20.2,3.5,24478.0
WI,2017,39.5,49.7,85.28,30.4,2.3,31998.0
WY,2017,37.5,51.1,91.21,27.6,3.4,30883.0
AL,2018,39.3,48.5,67.65,25.5,3.2,27525.0
AK,2018,34.9,51.9,64.35,30.2,4.4,35735.0
AZ,2018,38.0,49.7,77.95,29.7,3.2,30530.0
AR,2018,38.1,49.0,76.52,23.3,2.6,26626.0
CA,2018,36.7,49.7,59.5,34.2,3.5,37124.0
CO,2018,36.9,50.3,84.11,41.7,2.7,38057.0
CT,2018,41.1,48.7,75.24,39.6,3.6,44026.0
DE,2018,41.1,48.4,68.22,31.3,3.5,33745.0
DC,2018,33.9,47.6,42.24,60.4,5.3,55328.0
FL,2018,42.2,48.8,74.65,30.4,3.0,31359.0
GA,2018,36.8,48.7,58.25,31.9,3.0,31187.0
HI,2018,39.3,50.0,24.33,33.5,2.4,35255.0
ID,2018,36.8,50.3,89.89,27.7,2.5,27816.0
IL,2018,38.3,49.2,71.7,35.1,3.6,35801.0
IN,2018,37.8,49.3,82.79,27.1,2.8,29369.0
IA,2018,38.1,49.6,90.18,29.0,2.4,31559.0
KS,2018,37.1,49.8,84.04,33.8,2.5,31456.0
KY,2018,39.1,49.2,86.72,24.8,3.1,27823.0
LA,2018,37.3,48.9,61.74,24.3,3.7,27274.0
ME,2018,45.1,49.0,94.25,31.5,2.2,32095.0
MD,2018,38.8,48.5,54.69,40.8,3.3,41522.0
MA,2018,39.5,48.5,77.3,44.5,3.2,43349.0
MI,2018,39.8,49.3,78.28,29.6,3.3,31508.0
MN,2018,38.2,49.8,82.5,36.7,2.4,37192.0
MS,2018,37.7,48.4,58.11,23.2,4.0,24160.0
MO,2018,38.8,49.0,82.19,29.5,2.6,30498.0
MT,2018,40.1,50.3,88.62,31.7,2.2,30680.0
NE,2018,36.7,49.8,86.41,32.4,2.4,31771.0
NV,2018,38.2,50.2,63.44,24.9,3.5,31604.0
NH,2018,43.1,49.4,92.44,36.8,2.4,39521.0
NJ,2018,40.0,48.8,66.86,40.8,3.2,42815.0
NM,2018,38.1,49.6,76.35,27.7,3.4,26529.0
NY,2018,39.0,48.6,63.33,37.2,3.1,38884.0
NC,2018,38.9,48.7,68.36,31.9,3.1,30737.0
ND,2018,35.4,51.5,85.74,29.7,1.9,34848.0
OH,2018,39.5,49.0,81.02,29.0,3.1,31293.0
OK,2018,36.7,49.5,72.17,25.6,2.6,28011.0
OR,2018,39.6,49.6,83.88,34.0,3.1,34058.0
PA,2018,40.8,49.0,80.08,31.8,3.1,33960.0
RI,2018,40.0,48.8,80.66,34.4,3.5,34999.0
SC,2018,39.7,48.6,67.03,28.3,3.1,28957.0
SD,2018,37.2,50.5,83.98,29.2,2.0,29953.0
TN,2018,38.9,48.8,77.34,27.5,3.4,29284.0
TX,2018,34.9,49.6,73.51,30.3,3.1,30641.0
UT,2018,31.0,50.4,85.67,34.9,2.2,29756.0
VT,2018,43.1,49.2,94.1,38.7,2.5,33956.0
VA,2018,38.3,49.2,67.36,39.3,2.7,38900.0
WA,2018,37.7,50.0,74.76,36.7,2.7,39119.0
WV,2018,42.8,49.5,93.02,21.3,3.1,26179.0
WI,2018,39.6,49.7,85.27,30.0,2.1,33032.0
WY,2018,38.5,50.6,91.47,26.9,2.5,33522.0
AL,2019,39.4,48.3,67.84,26.3,2.8,28650.0
AK,2019,35.0,52.0,64.22,30.2,3.6,36978.0
AZ,2019,38.3,49.7,78.34,30.2,3.0,32173.0
AR,2019,38.8,48.9,76.71,23.3,2.8,27274.0
CA,2019,37.0,49.7,59.44,35.0,3.2,39393.0
CO,2019,37.1,50.4,83.74,42.7,2.5,41053.0
CT,2019,41.2,48.9,74.61,39.8,3.5,45359.0
DE,2019,41.4,48.3,67.75,33.2,2.9,36858.0
DC,2019,34.3,47.4,42.52,59.7,4.4,59808.0
FL,2019,42.4,48.9,74.54,30.7,2.7,32887.0
GA,2019,37.2,48.7,57.75,32.5,3.0,32657.0
HI,2019,39.6,50.0,24.1,33.6,2.4,36989.0
ID,2019,36.9,50.3,89.36,28.7,2.1,29606.0
IL,2019,38.6,49.1,71.37,35.8,3.1,37728.0
IN,2019,38.0,49.3,82.76,26.9,2.7,30988.0
IA,2019,38.5,49.8,89.87,29.3,2.5,33107.0
KS,2019,37.2,49.6,83.65,34.0,2.5,32885.0
KY,2019,39.2,49.2,86.7,25.1,2.8,29029.0
LA,2019,37.7,48.8,61.84,25.0,3.2,28662.0
ME,2019,45.1,48.8,93.98,33.2,2.2,34078.0
MD,2019,39.0,48.4,54.53,40.9,3.0,43325.0
MA,2019,39.7,48.5,76.97,45.0,2.7,46241.0
MI,2019,39.8,49.2,78.22,30.0,3.1,32892.0
MN,2019,38.4,49.7,82.05,37.3,2.2,39025.0
MS,2019,38.3,48.2,58.03,22.3,3.7,25301.0
MO,2019,38.9,49.0,81.84,30.2,2.4,31756.0
MT,2019,40.5,50.3,87.99,33.6,2.5,32625.0
NE,2019,36.8,50.0,86.16,33.2,2.3,33272.0
NV,2019,38.4,50.2,64.58,25.7,3.2,33575.0
NH,2019,43.0,49.5,92.56,37.6,2.0,41241.0
NJ,2019,40.2,48.9,67.15,41.2,3.1,44888.0
NM,2019,38.6,49.4,73.92,27.7,3.1,28423.0
NY,2019,39.2,48.6,63.2,37.8,2.8,41857.0
NC,2019,39.1,48.6,68.12,32.3,2.8,32021.0
ND,2019,35.5,51.0,85.81,30.4,1.8,36611.0
OH,2019,39.6,49.0,80.87,29.3,2.9,32780.0
OK,2019,37.0,49.6,72.42,26.2,2.6,29666.0
OR,2019,39.7,49.5,83.55,34.5,3.1,35531.0
PA,2019,40.8,49.0,79.63,32.3,2.8,35804.0
RI,2019,40.1,48.8,78.7,34.8,2.7,37525.0
SC,2019,39.9,48.3,66.71,29.6,2.8,31295.0
SD,2019,37.7,50.8,84.07,29.7,2.0,31550.0
TN,2019,39.0,48.7,77.21,28.7,2.8,31224.0
TX,2019,35.1,49.6,73.37,30.8,2.8,32267.0
UT,2019,31.2,50.2,87.32,34.8,2.2,31771.0
VT,2019,42.8,49.5,93.77,38.7,2.2,35702.0
VA,2019,38.5,49.2,66.95,39.6,2.6,40635.0
WA,2019,37.9,50.0,74.21,37.0,2.9,41521.0
WV,2019,42.9,49.4,93.07,21.1,3.2,27446.0
WI,2019,39.9,49.7,85.25,31.3,2.1,34568.0
WY,2019,38.1,51.1,90.86,29.1,2.3,34104.0
