Area,Year,Population,Violent_crime,Violent_crime_per_100K,Murder,Murder_per_100K,Rape,Rape_per_100K,Robbery,Robbery_per_100K,Aggravated_assault,Aggravated_assault_per_100K,Property_crime,Property_crime_per_100K,Burglary,Burglary_per_100K,Larceny_theft,Larceny_theft_per_100K,Motor_vehicle_theft,Motor_vehicle_theft_per_100K,Rape_legacy,Rape_legacy_per_100K,Rape_revised,Rape_revised_per_100K,State,Total_crime,Total_crime_per_100K
Tennessee,2014,6547779.0,39989.0,610.7,369.0,5.6,4465.0,68.19106142708847,7268.0,111.0,29757.0,454.5,200911.0,3068.4,46798.0,714.7,141464.0,2160.5,12649.0,193.2,1870.0,28.6,2595.0,39.6,TN,240900.0,3679.110122684348
Tennessee,2015,6600299.0,40400.0,612.1,406.0,6.2,4642.0,70.33014716454512,7474.0,113.2,29844.0,452.2,193796.0,2936.2,43247.0,655.2,137679.0,2086.0,12870.0,195.0,1966.0,29.8,2676.0,40.5,TN,234196.0,3548.26349533559
Arkansas,2014,2966835.0,14248.0,480.2,175.0,5.9,3107.0,104.72439485175279,2037.0,68.7,10220.0,344.5,99452.0,3352.1,24816.0,836.4,69001.0,2325.7,5635.0,189.9,1291.0,43.5,1816.0,61.2,AR,113700.0,3832.366815141388
Arkansas,2015,2978204.0,15526.0,521.3,181.0,6.1,3231.0,108.4882029572185,2098.0,70.4,11316.0,380.0,96836.0,3251.5,22640.0,760.2,68424.0,2297.5,5772.0,193.8,1300.0,43.7,1931.0,64.8,AR,112362.0,3772.8107275391476
Louisiana,2014,4648990.0,23983.0,515.9,476.0,10.2,2363.0,50.82824441437817,5725.0,123.1,16400.0,352.8,161192.0,3467.2,38541.0,829.0,113251.0,2436.0,9400.0,202.2,981.0,21.1,1382.0,29.7,LA,185175.0,3983.123216010359
Louisiana,2015,4670724.0,25208.0,539.7,481.0,10.3,2983.0,63.865901731722964,5550.0,118.8,17454.0,373.7,156629.0,3353.4,35453.0,759.0,111435.0,2385.8,9741.0,208.6,1260.0,27.0,1723.0,36.9,LA,181837.0,3893.1223510530704
Oklahoma,2014,3879610.0,16052.0,413.8,180.0,4.6,3223.0,83.07536066769599,3073.0,79.2,10937.0,281.9,117445.0,3027.2,29963.0,772.3,76719.0,1977.5,10763.0,277.4,1361.0,35.1,1862.0,48.0,OK,133497.0,3440.9902026234595
Oklahoma,2015,3911338.0,16506.0,422.0,234.0,6.0,3201.0,81.83900240787167,3005.0,76.8,11418.0,291.9,112878.0,2885.9,28406.0,726.2,74022.0,1892.5,10450.0,267.2,1352.0,34.6,1849.0,47.3,OK,129384.0,3307.921739312737
Texas,2014,26979078.0,109711.0,406.7,1192.0,4.4,20036.0,74.26495449547978,31021.0,115.0,65862.0,244.1,813515.0,3015.4,168085.0,623.0,577018.0,2138.8,68412.0,253.6,8400.0,31.1,11636.0,43.1,TX,923226.0,3422.0072309365055
Texas,2015,27469114.0,113227.0,412.2,1316.0,4.8,21175.0,77.08657803815588,31934.0,116.3,67727.0,246.6,777739.0,2831.3,153054.0,557.2,557200.0,2028.5,67485.0,245.7,8925.0,32.5,12250.0,44.6,TX,890966.0,3243.519248564042
Arizona,2014,6728783.0,26422.0,392.7,311.0,4.6,5628.0,83.6406821263221,6225.0,92.5,16614.0,246.9,213406.0,3171.5,43412.0,645.2,152683.0,2269.1,17311.0,257.3,2356.0,35.0,3272.0,48.6,AZ,239828.0,3564.210645520891
Arizona,2015,6828065.0,28012.0,410.2,309.0,4.5,5402.0,79.11465400519765,6360.0,93.1,18235.0,267.1,207107.0,3033.2,37957.0,555.9,152365.0,2231.5,16785.0,245.8,2294.0,33.6,3108.0,45.5,AZ,235119.0,3443.420646991498
