Area,Year,Population,Violent_crime,Violent_crime_per_100K,Murder,Murder_per_100K,Rape,Rape_per_100K,Robbery,Robbery_per_100K,Aggravated_assault,Aggravated_assault_per_100K,Property_crime,Property_crime_per_100K,Burglary,Burglary_per_100K,Larceny_theft,Larceny_theft_per_100K,Motor_vehicle_theft,Motor_vehicle_theft_per_100K,Rape_legacy,Rape_legacy_per_100K,Rape_revised,Rape_revised_per_100K,State,Total_crime,Total_crime_per_100K
Alabama,2000,4447100.0,21620.0,486.16,329.0,7.4,1482.0,33.33,5702.0,128.22,14107.0,317.22,180539.0,4059.7,40331.0,906.91,127399.0,2864.77,12809.0,288.03,,,,,AL,202159.0,4545.861347844663
Alaska,2000,626932.0,3554.0,566.89,27.0,4.31,497.0,79.27,490.0,78.16,2540.0,405.15,23087.0,3682.54,3899.0,621.92,16838.0,2685.78,2350.0,374.84,,,,,AK,26641.0,4249.4241799748615
Arizona,2000,5130632.0,27281.0,531.73,359.0,7.0,1577.0,30.74,7504.0,146.26,17841.0,347.73,271811.0,5297.81,51902.0,1011.61,176705.0,3444.12,43204.0,842.08,,,,,AZ,299092.0,5829.535230747401
Arkansas,2000,2673400.0,11904.0,445.28,168.0,6.28,848.0,31.72,2001.0,74.85,8887.0,332.42,98115.0,3670.05,21443.0,802.09,69740.0,2608.66,6932.0,259.3,,,,,AR,110019.0,4115.321313682951
California,2000,33871648.0,210531.0,621.56,2079.0,6.14,9785.0,28.89,60249.0,177.87,138418.0,408.65,1056183.0,3118.19,222293.0,656.28,651855.0,1924.49,182035.0,537.43,,,,,CA,1266714.0,3739.747177344309
Colorado,2000,4301261.0,14367.0,334.02,134.0,3.12,1774.0,41.24,3034.0,70.54,9425.0,219.12,156937.0,3648.63,27133.0,630.82,112843.0,2623.49,16961.0,394.33,,,,,CO,171304.0,3982.646019388267
Connecticut,2000,3405565.0,11058.0,324.7,98.0,2.88,678.0,19.91,3832.0,112.52,6450.0,189.4,,,17436.0,511.99,68498.0,2011.35,13099.0,384.64,,,,,CT,,
Delaware,2000,783600.0,5363.0,684.41,25.0,3.19,424.0,54.11,1394.0,177.9,3520.0,449.21,29727.0,3793.64,5216.0,665.65,21360.0,2725.88,3151.0,402.12,,,,,DE,35090.0,4478.0500255232255
District Of Columbia,2000,572059.0,8626.0,1507.89,239.0,41.78,251.0,43.88,3554.0,621.26,4582.0,800.97,33000.0,5768.64,4745.0,829.46,21655.0,3785.45,6600.0,1153.73,,,,,DC,41626.0,7276.522176908326
Florida,2000,15982378.0,129777.0,812.0,903.0,5.65,7057.0,44.15,31809.0,199.03,90008.0,563.17,780377.0,4882.73,172898.0,1081.8,518298.0,3242.93,89181.0,558.0,,,,,FL,910154.0,5694.734538252067
Georgia,2000,8186453.0,41319.0,504.72,651.0,7.95,1968.0,24.04,13250.0,161.85,25450.0,310.88,347630.0,4246.41,68488.0,836.6,240440.0,2937.05,38702.0,472.76,,,,,GA,388949.0,4751.129701715749
Hawaii,2000,1211537.0,2954.0,243.82,35.0,2.89,346.0,28.56,1123.0,92.69,1450.0,119.68,60033.0,4955.11,10665.0,880.29,43254.0,3570.18,6114.0,504.65,,,,,HI,62987.0,5198.933255855991
Idaho,2000,1293953.0,3267.0,252.48,16.0,1.24,384.0,29.68,223.0,17.23,2644.0,204.34,37961.0,2933.72,7330.0,566.48,28545.0,2206.03,2086.0,161.21,,,,,ID,41228.0,3186.2053722198566
Illinois,2000,12419293.0,81567.0,656.78,891.0,7.17,4090.0,32.93,25758.0,207.4,50828.0,409.27,450748.0,3629.42,81913.0,659.56,312692.0,2517.79,56143.0,452.06,,,,,IL,532315.0,4286.194069179301
Indiana,2000,6080485.0,21230.0,349.15,352.0,5.79,1759.0,28.93,6282.0,103.31,12837.0,211.12,206905.0,3402.77,41108.0,676.06,144707.0,2379.86,21090.0,346.85,,,,,IN,228135.0,3751.9211049776454
Iowa,2000,2926324.0,7796.0,266.41,46.0,1.57,676.0,23.1,1071.0,36.6,6003.0,205.14,86834.0,2967.34,16342.0,558.45,65118.0,2225.25,5374.0,183.64,,,,,IA,94630.0,3233.7499196944705
Kansas,2000,2688418.0,10470.0,389.45,169.0,6.29,1022.0,38.01,2048.0,76.18,7231.0,268.97,108057.0,4019.35,21484.0,799.13,80077.0,2978.59,6496.0,241.63,,,,,KS,118527.0,4408.801012342575
Kentucky,2000,4041769.0,11903.0,294.5,193.0,4.78,1091.0,26.99,3256.0,80.56,7363.0,182.17,107723.0,2665.24,25308.0,626.16,73141.0,1809.63,9274.0,229.45,,,,,KY,119626.0,2959.743617213156
Louisiana,2000,4468976.0,30440.0,681.14,560.0,12.53,1497.0,33.5,7532.0,168.54,20851.0,466.57,211904.0,4741.67,46289.0,1035.79,144345.0,3229.93,21270.0,475.95,,,,,LA,242344.0,5422.80826748678
Maine,2000,1274923.0,1397.0,109.58,15.0,1.18,320.0,25.1,247.0,19.37,815.0,63.93,32003.0,2510.19,6775.0,531.4,23906.0,1875.09,1322.0,103.69,,,,,ME,33400.0,2619.76605645988
Maryland,2000,5296486.0,41663.0,786.62,430.0,8.12,1543.0,29.13,13560.0,256.02,26130.0,493.35,213422.0,4029.5,39426.0,744.38,145423.0,2745.65,28573.0,539.47,,,,,MD,255085.0,4816.117705210587
Massachusetts,2000,6349097.0,30230.0,476.13,125.0,1.97,1696.0,26.71,5815.0,91.59,22594.0,355.86,161901.0,2549.98,30600.0,481.96,105425.0,1660.47,25876.0,407.55,,,,,MA,192131.0,3026.115367271913
Michigan,2000,9938444.0,55159.0,555.01,669.0,6.73,5025.0,50.56,13712.0,137.97,35753.0,359.74,353297.0,3554.85,69790.0,702.22,227783.0,2291.94,55724.0,560.69,,,,,MI,408456.0,4109.858645880583
Minnesota,2000,4919479.0,13813.0,280.78,151.0,3.07,2240.0,45.53,3713.0,75.48,7709.0,156.7,157798.0,3207.62,26116.0,530.87,118250.0,2403.71,13432.0,273.04,,,,,MN,171611.0,3488.3978567649133
Mississippi,2000,2844658.0,10267.0,360.92,255.0,8.96,1019.0,35.82,2703.0,95.02,6290.0,221.12,103644.0,3643.46,26918.0,946.26,69758.0,2452.25,6968.0,244.95,,,,,MS,113911.0,4004.3829521861676
Missouri,2000,5595211.0,27419.0,490.04,347.0,6.2,1351.0,24.15,7598.0,135.79,18123.0,323.9,225919.0,4037.72,41685.0,745.01,159539.0,2851.35,24695.0,441.36,,,,,MO,253338.0,4527.764904665794
Montana,2000,902195.0,2171.0,240.64,16.0,1.77,301.0,33.36,249.0,27.6,1605.0,177.9,29707.0,3292.75,3946.0,437.38,23805.0,2638.56,1956.0,216.8,,,,,MT,31878.0,3533.3824727470223
Nebraska,2000,1711263.0,5606.0,327.59,63.0,3.68,436.0,25.48,1147.0,67.03,3960.0,231.41,64479.0,3767.92,10131.0,592.02,49118.0,2870.28,5230.0,305.62,,,,,NE,70085.0,4095.513080105162
Nevada,2000,1998257.0,10474.0,524.16,129.0,6.46,860.0,43.04,4543.0,227.35,4942.0,247.32,74823.0,3744.41,17526.0,877.06,44125.0,2208.17,13172.0,659.17,,,,,NV,85297.0,4268.570058806249
New Hampshire,2000,1235786.0,2167.0,175.35,22.0,1.78,522.0,42.24,453.0,36.66,1170.0,94.68,27901.0,2257.75,4992.0,403.95,20761.0,1679.98,2148.0,173.82,,,,,NH,30068.0,2433.1073503017515
New Jersey,2000,8414350.0,32298.0,383.84,289.0,3.43,1357.0,16.13,13553.0,161.07,17099.0,203.21,233637.0,2776.65,43924.0,522.01,155562.0,1848.77,34151.0,405.87,,,,,NJ,265935.0,3160.4936804387744
New Mexico,2000,1819046.0,13786.0,757.87,135.0,7.42,922.0,50.69,2499.0,137.38,10230.0,562.38,86605.0,4761.01,21339.0,1173.09,57925.0,3184.36,7341.0,403.56,,,,,NM,100391.0,5518.881875444602
New York,2000,18976457.0,105111.0,553.9,952.0,5.02,3530.0,18.6,40539.0,213.63,60090.0,316.66,483078.0,2545.67,87946.0,463.45,340901.0,1796.44,54231.0,285.78,,,,,NY,588189.0,3099.5722752671904
North Carolina,2000,8049313.0,40051.0,497.57,560.0,6.96,2181.0,27.1,12595.0,156.47,24715.0,307.04,355921.0,4421.76,97888.0,1216.1,232767.0,2891.76,25266.0,313.89,,,,,NC,395972.0,4919.326655579179
North Dakota,2000,642200.0,523.0,81.44,4.0,0.62,169.0,26.32,56.0,8.72,294.0,45.78,14171.0,2206.63,2093.0,325.91,11092.0,1727.19,986.0,153.53,,,,,ND,14694.0,2288.0722516350047
Ohio,2000,11353140.0,37935.0,334.14,418.0,3.68,4271.0,37.62,15610.0,137.5,17636.0,155.34,420939.0,3707.69,88636.0,780.72,293277.0,2583.22,39026.0,343.75,,,,,OH,458874.0,4041.8245525026555
Oklahoma,2000,3450654.0,17177.0,497.79,182.0,5.27,1422.0,41.21,2615.0,75.78,12958.0,375.52,140125.0,4060.82,31661.0,917.54,96116.0,2785.44,12348.0,357.85,,,,,OK,157302.0,4558.614106195521
Oregon,2000,3421399.0,12000.0,350.73,70.0,2.05,1286.0,37.59,2888.0,84.41,7756.0,226.69,153780.0,4494.65,25618.0,748.76,114230.0,3338.69,13932.0,407.2,,,,,OR,165780.0,4845.386346345456
Pennsylvania,2000,12281054.0,51584.0,420.03,602.0,4.9,3247.0,26.44,18155.0,147.83,29580.0,240.86,316274.0,2575.3,54080.0,440.35,225869.0,1839.17,36325.0,295.78,,,,,PA,367858.0,2995.3292282567927
Rhode Island,2000,1048319.0,3121.0,297.71,45.0,4.29,412.0,39.3,922.0,87.95,1742.0,166.17,33323.0,3178.71,6620.0,631.49,22038.0,2102.22,4665.0,445.0,,,,,RI,36444.0,3476.4227301040996
South Carolina,2000,4012012.0,32293.0,804.91,233.0,5.81,1511.0,37.66,5883.0,146.63,24666.0,614.8,177189.0,4416.46,38888.0,969.29,123094.0,3068.14,15207.0,379.04,,,,,SC,209482.0,5221.370225213684
South Dakota,2000,754844.0,1259.0,166.79,7.0,0.93,305.0,40.41,131.0,17.35,816.0,108.1,16252.0,2153.03,2896.0,383.66,12558.0,1663.66,798.0,105.72,,,,,SD,17511.0,2319.8170747863132
Tennessee,2000,5689283.0,40233.0,707.17,410.0,7.21,2186.0,38.42,9465.0,166.37,28172.0,495.18,237985.0,4183.04,56344.0,990.35,154111.0,2708.79,27530.0,483.89,,,,,TN,278218.0,4890.2120003522405
Texas,2000,20851820.0,113653.0,545.05,1238.0,5.94,7856.0,37.68,30257.0,145.1,74302.0,356.33,919658.0,4410.44,188975.0,906.28,637522.0,3057.39,93161.0,446.78,,,,,TX,1033311.0,4955.4954915206445
Utah,2000,2233169.0,5711.0,255.74,43.0,1.93,863.0,38.64,1242.0,55.62,3563.0,159.55,94247.0,4220.33,14348.0,642.5,73438.0,3288.51,6461.0,289.32,,,,,UT,99958.0,4476.060701182938
Vermont,2000,608827.0,691.0,113.5,9.0,1.48,140.0,23.0,117.0,19.22,425.0,69.81,17494.0,2873.39,3501.0,575.04,13184.0,2165.48,809.0,132.88,,,,,VT,18185.0,2986.8911858376846
Virginia,2000,7078515.0,19943.0,281.74,401.0,5.67,1616.0,22.83,6295.0,88.93,11631.0,164.31,194405.0,2746.41,30434.0,429.95,146158.0,2064.81,17813.0,251.65,,,,,VA,214348.0,3028.1492657711397
Washington,2000,5894121.0,21788.0,369.66,196.0,3.33,2737.0,46.44,5812.0,98.61,13043.0,221.29,279144.0,4735.97,53476.0,907.28,190650.0,3234.58,35018.0,594.12,,,,,WA,300932.0,5105.629830130735
West Virginia,2000,1808344.0,5723.0,316.48,46.0,2.54,331.0,18.3,749.0,41.42,4597.0,254.21,41344.0,2286.29,9890.0,546.91,28139.0,1556.06,3315.0,183.32,,,,,WV,47067.0,2602.768057405007
Wisconsin,2000,5363675.0,12700.0,236.78,169.0,3.15,1165.0,21.72,4537.0,84.59,6829.0,127.32,159424.0,2972.29,25183.0,469.51,119605.0,2229.91,14636.0,272.87,,,,,WI,172124.0,3209.0684092529837
Wyoming,2000,493782.0,1316.0,266.51,12.0,2.43,160.0,32.4,70.0,14.18,1074.0,217.5,14969.0,3031.5,2078.0,420.83,12318.0,2494.62,573.0,116.04,,,,,WY,16285.0,3298.014103389755
Alabama,2001,4464356.0,19582.0,438.63,379.0,8.49,1369.0,30.67,5584.0,125.08,12250.0,274.4,173253.0,3880.81,40642.0,910.37,119992.0,2687.78,12619.0,282.66,,,,,AL,192835.0,4319.435994799698
Alaska,2001,634892.0,3735.0,588.29,39.0,6.14,501.0,78.91,514.0,80.96,2681.0,422.28,23160.0,3647.86,3847.0,605.93,16695.0,2629.58,2618.0,412.35,,,,,AK,26895.0,4236.153550525129
Arizona,2001,5307331.0,28675.0,540.29,400.0,7.54,1518.0,28.6,8868.0,167.09,17889.0,337.06,293874.0,5537.13,54821.0,1032.93,186850.0,3520.6,52203.0,983.6,,,,,AZ,322549.0,6077.423850142378
Arkansas,2001,2692090.0,12190.0,452.81,148.0,5.5,892.0,33.13,2181.0,81.02,8969.0,333.16,99106.0,3681.38,22196.0,824.49,69590.0,2584.98,7320.0,271.91,,,,,AR,111296.0,4134.185707015738
California,2001,34501130.0,212855.0,616.95,2206.0,6.39,9961.0,28.87,64545.0,187.08,136143.0,394.6,1133702.0,3285.99,232000.0,672.44,697669.0,2022.16,204033.0,591.38,,,,,CA,1346557.0,3902.93593282307
Colorado,2001,4417714.0,15492.0,350.68,158.0,3.58,1930.0,43.69,3555.0,80.47,9849.0,222.94,170887.0,3868.22,28533.0,645.88,121360.0,2747.12,20994.0,475.22,,,,,CO,186379.0,4218.90144993542
Connecticut,2001,3425074.0,11492.0,335.53,105.0,3.07,639.0,18.66,4183.0,122.13,6565.0,191.67,95299.0,2782.39,17159.0,500.98,65762.0,1920.02,12378.0,361.39,,,,,CT,106791.0,3117.918036223451
Delaware,2001,796165.0,4868.0,611.43,23.0,2.89,420.0,52.75,1156.0,145.2,3269.0,410.59,27399.0,3441.37,5144.0,646.1,19476.0,2446.23,2779.0,349.05,,,,,DE,32267.0,4052.8031249803744
District Of Columbia,2001,571822.0,9931.0,1736.73,232.0,40.57,188.0,32.88,3943.0,689.55,5568.0,973.73,34154.0,5972.84,5011.0,876.32,21473.0,3755.19,7670.0,1341.33,,,,,DC,44085.0,7709.566963145874
Florida,2001,16396515.0,130713.0,797.2,874.0,5.33,6641.0,40.5,32867.0,200.45,90331.0,550.92,782517.0,4772.46,176052.0,1073.72,516548.0,3150.35,89917.0,548.39,,,,,FL,913230.0,5569.659162328092
Georgia,2001,8383915.0,41671.0,497.04,598.0,7.13,2180.0,26.0,14402.0,171.78,24491.0,292.12,347872.0,4149.28,71799.0,856.39,238484.0,2844.54,37589.0,448.35,,,,,GA,389543.0,4646.313804469631
Hawaii,2001,1224398.0,3117.0,254.57,32.0,2.61,409.0,33.4,1142.0,93.27,1534.0,125.29,62830.0,5131.5,11162.0,911.63,44925.0,3669.15,6743.0,550.72,,,,,HI,65947.0,5386.075442789028
Idaho,2001,1321006.0,3211.0,243.07,30.0,2.27,425.0,32.17,245.0,18.55,2511.0,190.08,38181.0,2890.3,7507.0,568.28,28285.0,2141.17,2389.0,180.85,,,,,ID,41392.0,3133.3695683441256
Illinois,2001,12482301.0,79504.0,636.93,986.0,7.9,3938.0,31.55,24867.0,199.22,49713.0,398.27,431990.0,3460.82,78844.0,631.65,304362.0,2438.35,48784.0,390.83,,,,,IL,511494.0,4097.754091973908
Indiana,2001,6114745.0,22734.0,371.79,413.0,6.75,1716.0,28.06,7171.0,117.27,13434.0,219.7,211548.0,3459.64,42758.0,699.26,147291.0,2408.78,21499.0,351.59,,,,,IN,234282.0,3831.427148638251
Iowa,2001,2923179.0,7865.0,269.06,50.0,1.71,649.0,22.2,1154.0,39.48,6012.0,205.67,88634.0,3032.11,16885.0,577.62,66244.0,2266.16,5505.0,188.32,,,,,IA,96499.0,3301.1662987453037
Kansas,2001,2694641.0,10909.0,404.84,92.0,3.41,945.0,35.07,2423.0,89.92,7449.0,276.44,105537.0,3916.55,20514.0,761.29,77038.0,2858.93,7985.0,296.33,,,,,KS,116446.0,4321.391977632642
Kentucky,2001,4065556.0,10448.0,256.99,191.0,4.7,1132.0,27.84,3280.0,80.68,5845.0,143.77,109001.0,2681.08,26505.0,651.94,73152.0,1799.31,9344.0,229.83,,,,,KY,119449.0,2938.0729228671307
Louisiana,2001,4465430.0,30678.0,687.01,501.0,11.22,1403.0,31.42,7864.0,176.11,20910.0,468.26,207693.0,4651.13,46451.0,1040.24,139555.0,3125.23,21687.0,485.66,,,,,LA,238371.0,5338.142127409902
Maine,2001,1286670.0,1434.0,111.45,18.0,1.4,326.0,25.34,264.0,20.52,826.0,64.2,33154.0,2576.73,6898.0,536.11,24585.0,1910.75,1671.0,129.87,,,,,ME,34588.0,2688.179564301647
Maryland,2001,5375156.0,42088.0,783.01,446.0,8.3,1449.0,26.96,13525.0,251.62,26668.0,496.13,219512.0,4083.83,41553.0,773.06,145934.0,2714.97,32025.0,595.8,,,,,MD,261600.0,4866.835492774535
Massachusetts,2001,6379304.0,30587.0,479.47,145.0,2.27,1856.0,29.09,6476.0,101.52,22110.0,346.59,167079.0,2619.08,32430.0,508.36,106821.0,1674.49,27828.0,436.22,,,,,MA,197666.0,3098.551189910372
Michigan,2001,9990817.0,55424.0,554.75,672.0,6.73,5264.0,52.69,12937.0,129.49,36551.0,365.85,352353.0,3526.77,72038.0,721.04,226708.0,2269.16,53607.0,536.56,,,,,MI,407777.0,4081.5180580326914
Minnesota,2001,4972294.0,13145.0,264.36,119.0,2.39,2236.0,44.97,3758.0,75.58,7032.0,141.42,165046.0,3319.31,25496.0,512.76,124519.0,2504.26,15031.0,302.3,,,,,MN,178191.0,3583.6778758456358
Mississippi,2001,2858029.0,10006.0,350.1,282.0,9.87,1147.0,40.13,3294.0,115.25,5283.0,184.85,109609.0,3835.13,29821.0,1043.41,70315.0,2460.26,9473.0,331.45,,,,,MS,119615.0,4185.226951860881
Missouri,2001,5629707.0,30472.0,541.27,372.0,6.61,1383.0,24.57,7771.0,138.04,20946.0,372.06,238411.0,4234.87,42977.0,763.4,167420.0,2973.87,28014.0,497.61,,,,,MO,268883.0,4776.145543631312
Montana,2001,904433.0,3187.0,352.38,34.0,3.76,188.0,20.79,230.0,25.43,2735.0,302.4,30175.0,3336.34,3670.0,405.78,24684.0,2729.22,1821.0,201.34,,,,,MT,33362.0,3688.71989412151
Nebraska,2001,1713235.0,5214.0,304.34,43.0,2.51,431.0,25.16,1128.0,65.84,3612.0,210.83,68963.0,4025.31,9760.0,569.68,52713.0,3076.81,6490.0,378.82,,,,,NE,74177.0,4329.645378479893
Nevada,2001,2106074.0,12359.0,586.83,180.0,8.55,883.0,41.93,4932.0,234.18,6364.0,302.17,77486.0,3679.17,17711.0,840.95,45073.0,2140.14,14702.0,698.08,,,,,NV,89845.0,4265.994452236721
New Hampshire,2001,1259181.0,2144.0,170.27,17.0,1.35,458.0,36.37,445.0,35.34,1224.0,97.21,27089.0,2151.32,4889.0,388.27,20060.0,1593.1,2140.0,169.95,,,,,NH,29233.0,2321.5883975377646
New Jersey,2001,8484431.0,33094.0,390.06,336.0,3.96,1278.0,15.06,14110.0,166.3,17370.0,204.73,240551.0,2835.2,46812.0,551.74,156031.0,1839.03,37708.0,444.44,,,,,NJ,273645.0,3225.260480048692
New Mexico,2001,1829146.0,14288.0,781.13,99.0,5.41,850.0,46.47,2695.0,147.34,10644.0,581.91,83095.0,4542.83,19552.0,1068.91,56406.0,3083.73,7137.0,390.18,,,,,NM,97383.0,5323.959924467484
New York,2001,19011378.0,98103.0,516.02,960.0,5.05,3546.0,18.65,36555.0,192.28,57042.0,300.04,458003.0,2409.1,80400.0,422.9,329316.0,1732.2,48287.0,253.99,,,,,NY,556106.0,2925.121997995095
North Carolina,2001,8186268.0,40465.0,494.3,505.0,6.17,2083.0,25.45,13304.0,162.52,24573.0,300.17,363777.0,4443.75,101889.0,1244.63,237241.0,2898.04,24647.0,301.08,,,,,NC,404242.0,4938.0499148085555
North Dakota,2001,634448.0,505.0,79.6,7.0,1.1,164.0,25.85,60.0,9.46,274.0,43.19,14834.0,2338.1,2165.0,341.24,11583.0,1825.68,1086.0,171.17,,,,,ND,15339.0,2417.6922300960837
Ohio,2001,11373541.0,40023.0,351.9,452.0,3.97,4466.0,39.27,17199.0,151.22,17906.0,157.44,435115.0,3825.68,96910.0,852.07,295976.0,2602.32,42229.0,371.29,,,,,OH,475138.0,4177.573193783713
Oklahoma,2001,3460097.0,17726.0,512.3,185.0,5.35,1486.0,42.95,2746.0,79.36,13309.0,384.64,141679.0,4094.65,34573.0,999.19,94537.0,2732.21,12569.0,363.26,,,,,OK,159405.0,4606.951770427245
Oregon,2001,3472867.0,10650.0,306.66,84.0,2.42,1174.0,33.8,2749.0,79.16,6643.0,191.28,164524.0,4737.41,26648.0,767.32,123034.0,3542.72,14842.0,427.37,,,,,OR,175174.0,5044.074535535049
Pennsylvania,2001,12287150.0,50432.0,410.45,651.0,5.3,3467.0,28.22,17500.0,142.43,28814.0,234.51,313408.0,2550.7,54345.0,442.29,223350.0,1817.75,35713.0,290.65,,,,,PA,363840.0,2961.1423316228743
Rhode Island,2001,1058920.0,3278.0,309.56,39.0,3.68,416.0,39.29,986.0,93.11,1837.0,173.48,35742.0,3375.33,6824.0,644.43,23875.0,2254.66,5043.0,476.24,,,,,RI,39020.0,3684.886488119971
South Carolina,2001,4063011.0,29265.0,720.28,255.0,6.28,1380.0,33.96,5310.0,130.69,22320.0,549.35,163838.0,4032.43,36831.0,906.5,112247.0,2762.66,14760.0,363.28,,,,,SC,193103.0,4752.706797987995
South Dakota,2001,756600.0,1171.0,154.77,7.0,0.93,351.0,46.39,103.0,13.61,710.0,93.84,16473.0,2177.24,3087.0,408.01,12571.0,1661.51,815.0,107.72,,,,,SD,17644.0,2332.011630980703
Tennessee,2001,5740021.0,42778.0,745.26,425.0,7.4,2196.0,38.26,10219.0,178.03,29938.0,521.57,252992.0,4407.51,59705.0,1040.15,165015.0,2874.82,28272.0,492.54,,,,,TN,295770.0,5152.768604853536
Texas,2001,21325018.0,122155.0,572.82,1332.0,6.25,8169.0,38.31,35348.0,165.76,77306.0,362.51,976654.0,4579.85,204362.0,958.32,669625.0,3140.09,102667.0,481.44,,,,,TX,1098809.0,5152.675603837709
Utah,2001,2269789.0,5314.0,234.12,67.0,2.95,896.0,39.48,1197.0,52.74,3154.0,138.96,90993.0,4008.87,13804.0,608.16,70676.0,3113.77,6513.0,286.94,,,,,UT,96307.0,4242.993511731708
Vermont,2001,613090.0,644.0,105.04,7.0,1.14,107.0,17.45,107.0,17.45,423.0,68.99,16334.0,2664.21,3150.0,513.79,12426.0,2026.78,758.0,123.64,,,,,VT,16978.0,2769.2508440848815
Virginia,2001,7187734.0,20939.0,291.32,364.0,5.06,1770.0,24.63,6860.0,95.44,11945.0,166.19,207506.0,2886.95,31604.0,439.69,157060.0,2185.11,18842.0,262.14,,,,,VA,228445.0,3178.261744243735
Washington,2001,5987973.0,21258.0,355.01,179.0,2.99,2600.0,43.42,5934.0,99.1,12545.0,209.5,287234.0,4796.85,53024.0,885.51,195133.0,3258.75,39077.0,652.59,,,,,WA,308492.0,5151.860237178758
West Virginia,2001,1801916.0,5035.0,279.42,40.0,2.22,320.0,17.76,707.0,39.24,3968.0,220.21,41085.0,2280.07,9601.0,532.82,28268.0,1568.77,3216.0,178.48,,,,,WV,46120.0,2559.4977790307653
Wisconsin,2001,5401906.0,12486.0,231.14,192.0,3.55,1142.0,21.14,4444.0,82.27,6708.0,124.18,166924.0,3090.09,26927.0,498.47,125275.0,2319.09,14722.0,272.53,,,,,WI,179410.0,3321.2351344136678
Wyoming,2001,494423.0,1272.0,257.27,9.0,1.82,153.0,30.95,84.0,16.99,1026.0,207.51,16120.0,3260.37,2481.0,501.8,12943.0,2617.8,696.0,140.77,,,,,WY,17392.0,3517.6357086947814
Alabama,2002,4486508.0,19931.0,444.24,303.0,6.75,1664.0,37.09,5962.0,132.89,12002.0,267.51,180400.0,4020.94,42578.0,949.02,123932.0,2762.33,13890.0,309.59,,,,,AL,200331.0,4465.187624762956
Alaska,2002,643786.0,3627.0,563.39,33.0,5.13,511.0,79.37,489.0,75.96,2594.0,402.93,24118.0,3746.28,3908.0,607.03,17739.0,2755.42,2471.0,383.82,,,,,AK,27745.0,4309.661906285629
Arizona,2002,5456453.0,30171.0,552.94,387.0,7.09,1608.0,29.47,8000.0,146.62,20176.0,369.76,318296.0,5833.39,59087.0,1082.88,201541.0,3693.63,57668.0,1056.88,,,,,AZ,348467.0,6386.3282612349085
Arkansas,2002,2710079.0,11501.0,424.38,142.0,5.24,754.0,27.82,2524.0,93.13,8081.0,298.18,101171.0,3733.14,23229.0,857.13,71129.0,2624.61,6813.0,251.39,,,,,AR,112672.0,4157.517179388497
California,2002,35116033.0,208388.0,593.43,2395.0,6.82,10198.0,29.04,64968.0,185.01,130827.0,372.56,1176484.0,3350.28,238428.0,678.97,715692.0,2038.08,222364.0,633.23,,,,,CA,1384872.0,3943.7028664371055
Colorado,2002,4506542.0,15882.0,352.42,179.0,3.97,2066.0,45.84,3579.0,79.42,10058.0,223.19,180054.0,3995.39,31678.0,702.93,125193.0,2778.03,23183.0,514.43,,,,,CO,195936.0,4347.812580022553
Connecticut,2002,3460503.0,10767.0,311.14,80.0,2.31,730.0,21.1,4060.0,117.32,5897.0,170.41,92952.0,2686.08,17088.0,493.8,64292.0,1857.88,11572.0,334.4,,,,,CT,103719.0,2997.223236044009
Delaware,2002,807385.0,4836.0,598.97,26.0,3.22,358.0,44.34,1154.0,142.93,3298.0,408.48,26967.0,3340.04,5355.0,663.25,18555.0,2298.16,3057.0,378.63,,,,,DE,31803.0,3939.0129863695756
District Of Columbia,2002,570898.0,9322.0,1632.87,264.0,46.24,262.0,45.89,3834.0,671.57,4962.0,869.16,36477.0,6389.41,5170.0,905.59,21708.0,3802.43,9599.0,1681.39,,,,,DC,45799.0,8022.273681112913
Florida,2002,16713149.0,128721.0,770.18,911.0,5.45,6753.0,40.41,32581.0,194.94,88476.0,529.38,777236.0,4650.45,177242.0,1060.49,511478.0,3060.33,88516.0,529.62,,,,,FL,905957.0,5420.6242043315715
Georgia,2002,8560310.0,39271.0,458.76,606.0,7.08,2108.0,24.63,13432.0,156.91,23125.0,270.14,346559.0,4048.44,73932.0,863.66,234591.0,2740.45,38036.0,444.33,,,,,GA,385830.0,4507.196585170397
Hawaii,2002,1244898.0,3262.0,262.03,24.0,1.93,372.0,29.88,1210.0,97.2,1656.0,133.02,71976.0,5781.68,12722.0,1021.93,49344.0,3963.7,9910.0,796.05,,,,,HI,75238.0,6043.707998566952
Idaho,2002,1341131.0,3419.0,254.93,36.0,2.68,497.0,37.06,240.0,17.9,2646.0,197.3,39128.0,2917.54,7441.0,554.83,29060.0,2166.83,2627.0,195.88,,,,,ID,42547.0,3172.471593006201
Illinois,2002,12600620.0,78214.0,620.72,949.0,7.53,4298.0,34.11,25272.0,200.56,47695.0,378.51,427872.0,3395.64,81123.0,643.8,301892.0,2395.85,44857.0,355.99,,,,,IL,506086.0,4016.3579252449485
Indiana,2002,6159068.0,22001.0,357.21,362.0,5.88,1843.0,29.92,6612.0,107.35,13184.0,214.06,208965.0,3392.8,42605.0,691.74,146073.0,2371.67,20287.0,329.38,,,,,IN,230966.0,3750.015424411616
Iowa,2002,2936760.0,8388.0,285.62,44.0,1.5,797.0,27.14,1169.0,39.81,6378.0,217.18,92877.0,3162.57,18643.0,634.82,68411.0,2329.47,5823.0,198.28,,,,,IA,101265.0,3448.1877987986763
