State Code,Region,State,Year,PM10,PM2.5,NO2,SO2,UV_Irradiance,Population,Violent_crime,Property_crime,Total_crime,Violent_crime_per_100K,Property_crime_per_100K,Total_crime_per_100K
AK,West,AK,2000,,-0.7441846489695341,,,-2.3937277046863272,-0.8186040885103778,-0.6847972825792934,-0.7769367799072974,-0.7676178743971337,566.89,3682.54,4249.4241799748615
AK,West,AK,2001,,-0.371626600269881,,,-2.4483249288959565,-0.8174391633252619,-0.6794409995492464,-0.7765875774823146,-0.7665672135959367,588.29,3647.86,4236.153550525129
AK,West,AK,2002,,-0.5673774394171563,,,-2.38007839863392,-0.8161375496824955,-0.6826370137329208,-0.7720048936037729,-0.7630512227257892,563.39,3746.28,4309.661906285629
AK,West,AK,2003,,-0.5421192666239596,,,-2.451358108018714,-0.8154011296408494,-0.6760378362981115,-0.7712299512360028,-0.7614586856846047,593.39,3742.19,4335.576386598399
AK,West,AK,2004,,0.019875078024669972,,,-1.8462388730286552,-0.8140932230605252,-0.6668936846059318,-0.7813137692067395,-0.7689001769497757,632.0,3371.0,4003.1622716665024
AK,West,AK,2005,,-0.16640394632515673,,,-2.2557180546008753,-0.8132288954043324,-0.6658579392686299,-0.7726889476691502,-0.7612973637505627,632.0,3613.0,4244.486266331757
AK,West,AK,2006,,0.4903085462979602,,,-2.431642443720792,-0.8122934429189982,-0.6535473661166986,-0.7718279005938501,-0.7588320336816122,688.0,3604.9,4292.943990997727
AK,West,AK,2007,,-0.46634474824436906,,,-2.370978861265648,-0.8103287292745032,-0.6562403039936836,-0.7768841603638068,-0.7635806895862349,661.2,3379.5,4040.656758520391
AK,West,AK,2008,,-0.280065723894542,,,-2.4225429063525206,-0.809648652976107,-0.6574240129506,-0.7912397285470045,-0.7761596639816685,650.9,2920.5,3571.4441416893737
AK,West,AK,2009,,0.07039142361106342,,,-2.1313577105678307,-0.8081342502354564,-0.6591403909381289,-0.7889436030128709,-0.7744140779261365,633.0,2946.0,3578.950081105497
AK,West,AK,2010,,0.1777386579821492,,,-2.3467134282835906,-0.8058405476693357,-0.6557076349630712,-0.7904647861792344,-0.7752496428152774,635.3,2836.8,3472.1191465050565
AK,West,AK,2011,,-0.4442438470503221,,,-2.19657106170711,-0.8045860578845601,-0.6602649144471996,-0.7963533914553145,-0.7809786397036942,606.5,2632.8,3239.299422457999
AK,West,AK,2012,,-0.030641267561724157,,,-2.2724005397760396,-0.8034754275793032,-0.6594067254534351,-0.7915267442387711,-0.776684994382267,604.1,2743.6,3347.770184319745
AK,West,AK,2013,,-0.6841964885856917,,,-2.1283245314450734,-0.8027693014463655,-0.6588740564228227,-0.7859155874647322,-0.7717584707042133,602.6,2885.2,3487.808992126584
