State,Geographic Name,Year,Median age years,Percent Male,Percent White,Percent BA or higher,Percent unemployed,Per capita income dollars
HI,Hawaii,2012,38.3,50.4,24.94,30.1,4.4,28099.0
ID,Idaho,2012,35.2,50.1,91.39,25.5,5.1,22053.0
IL,Illinois,2012,37.0,49.1,72.69,31.6,6.7,28741.0
IN,Indiana,2012,37.3,49.2,84.33,23.4,5.6,23898.0
IA,Iowa,2012,38.0,49.6,91.66,26.3,3.6,26436.0
KS,Kansas,2012,36.0,49.7,85.55,30.4,4.3,26390.0
KY,Kentucky,2012,38.4,49.2,87.77,21.8,5.5,22722.0
LA,Louisiana,2012,36.0,48.9,62.83,22.0,5.4,23800.0
ME,Maine,2012,43.5,49.0,95.12,28.0,4.9,26020.0
MD,Maryland,2012,38.1,48.4,58.08,36.9,5.6,35144.0
MA,Massachusetts,2012,39.5,48.4,80.11,39.3,5.7,34907.0
MI,Michigan,2012,39.5,49.1,79.33,26.0,6.9,25074.0
MN,Minnesota,2012,37.6,49.6,85.45,33.2,4.4,30529.0
MS,Mississippi,2012,36.2,48.3,59.26,20.7,6.6,20119.0
MO,Missouri,2012,38.2,49.0,82.73,26.4,5.4,24697.0
MT,Montana,2012,40.2,50.1,89.19,29.4,4.6,25148.0
NE,Nebraska,2012,36.3,49.7,88.11,29.0,3.7,26245.0
NV,Nevada,2012,36.8,50.4,69.67,22.4,7.9,25331.0
NH,New Hampshire,2012,41.9,49.1,94.03,34.6,4.4,32201.0
NJ,New Jersey,2012,39.4,48.7,68.94,36.2,6.7,34885.0
NM,New Mexico,2012,36.8,49.6,71.92,26.1,6.1,22874.0
NY,New York,2012,38.1,48.5,65.24,33.4,5.9,31290.0
NC,North Carolina,2012,37.8,48.7,69.91,27.4,6.7,24435.0
ND,North Dakota,2012,36.2,51.1,89.5,27.9,2.3,30796.0
OH,Ohio,2012,39.3,48.9,82.7,25.2,5.7,25445.0
OK,Oklahoma,2012,36.3,49.5,73.55,23.8,4.2,23740.0
OR,Oregon,2012,38.9,49.6,85.18,29.9,6.9,26011.0
PA,Pennsylvania,2012,40.5,48.8,81.93,27.8,5.6,27774.0
RI,Rhode Island,2012,39.8,48.3,81.68,31.4,6.2,29389.0
