State,Year,UV_Irradiance
IL,2008,2370
IL,2009,2380
IL,2010,2473
IL,2011,2693
IL,2012,2937
IL,2013,2585
IL,2014,2755
IL,2015,2988
IL,2016,3396
IL,2017,3392
IL,2018,3148
IL,2019,3418
IL,2020,3615
IN,1995,2801
IN,1996,2817
IN,1997,2841
IN,1998,2768
IN,1999,2835
IN,2000,2844
IN,2001,2787
IN,2002,2824
IN,2003,2724
IN,2004,2806
IN,2005,2330
IN,2006,2268
IN,2007,2403
IN,2008,2348
IN,2009,2345
IN,2010,2443
IN,2011,2602
IN,2012,2814
IN,2013,2527
IN,2014,2791
IN,2015,2907
IN,2016,3384
IN,2017,3407
IN,2018,3294
IN,2019,3416
IN,2020,3486
IA,1995,2642
IA,1996,2684
IA,1997,2705
IA,1998,2622
IA,1999,2699
IA,2000,2705
IA,2001,2652
IA,2002,2655
IA,2003,2589
IA,2004,2650
IA,2005,2354
IA,2006,2255
IA,2007,2341
IA,2008,2253
IA,2009,2322
IA,2010,2327
IA,2011,2549
IA,2012,2963
IA,2013,2569
IA,2014,2599
IA,2015,2894
IA,2016,3147
IA,2017,3118
IA,2018,3054
IA,2019,2978
IA,2020,3254
KS,1995,3016
KS,1996,3057
KS,1997,3080
KS,1998,2977
KS,1999,3050
KS,2000,3083
KS,2001,3000
KS,2002,3030
KS,2003,2954
KS,2004,2996
KS,2005,2785
KS,2006,2808
KS,2007,2725
KS,2008,2751
KS,2009,2815
KS,2010,2778
KS,2011,3191
KS,2012,3435
KS,2013,3058
KS,2014,3240
KS,2015,3350
KS,2016,3775
KS,2017,3744
KS,2018,3565
KS,2019,3673
KS,2020,4077
KY,1995,3011
KY,1996,3019
KY,1997,3044
KY,1998,2955
KY,1999,3028
KY,2000,3032
KY,2001,2981
KY,2002,3038
KY,2003,2926
KY,2004,3002
KY,2005,2473
KY,2006,2435
KY,2007,2596
KY,2008,2528
KY,2009,2489
KY,2010,2606
KY,2011,2774
KY,2012,2961
KY,2013,2748
KY,2014,2982
KY,2015,3156
KY,2016,3717
KY,2017,3700
KY,2018,3531
KY,2019,3739
KY,2020,3733
LA,1995,3653
LA,1996,3732
LA,1997,3779
LA,1998,3688
LA,1999,3752
LA,2000,3720
LA,2001,3708
LA,2002,3802
LA,2003,3649
LA,2004,3666
LA,2005,3243
LA,2006,3277
LA,2007,3162
LA,2008,3313
LA,2009,3366
LA,2010,3353
LA,2011,3884
LA,2012,3793
LA,2013,3827
LA,2014,3720
LA,2015,3782
LA,2016,3897
LA,2017,3994
LA,2018,3942
LA,2019,4151
LA,2020,4242
ME,1995,2324
ME,1996,2313
ME,1997,2297
ME,1998,2189
ME,1999,2316
ME,2000,2304
ME,2001,2265
ME,2002,2275
ME,2003,2269
ME,2004,2350
ME,2005,1903
ME,2006,1893
ME,2007,1966
ME,2008,1970
ME,2009,1933
ME,2010,1975
ME,2011,2155
ME,2012,2332
ME,2013,2300
ME,2014,2299
ME,2015,2649
ME,2016,2617
ME,2017,2683
ME,2018,2741
ME,2019,2712
ME,2020,2937
MD,1995,2839
MD,1996,2855
MD,1997,2856
MD,1998,2732
MD,1999,2836
MD,2000,2836
MD,2001,2792
MD,2002,2862
MD,2003,2781
MD,2004,2850
MD,2005,2318
MD,2006,2354
MD,2007,2431
MD,2008,2454
MD,2009,2382
MD,2010,2415
MD,2011,2641
MD,2012,2760
MD,2013,2652
MD,2014,2760
MD,2015,3035
MD,2016,3343
MD,2017,3401
MD,2018,3085
MD,2019,3391
MD,2020,3503
MA,1995,2538
MA,1996,2543
MA,1997,2534
MA,1998,2413
MA,1999,2538
MA,2000,2534
MA,2001,2481
MA,2002,2528
MA,2003,2501
MA,2004,2549
MA,2005,2067
MA,2006,2004
MA,2007,2166
MA,2008,2145
MA,2009,2083
MA,2010,2136
MA,2011,2332
MA,2012,2471
MA,2013,2439
MA,2014,2516
MA,2015,2646
MA,2016,2958
MA,2017,2758
MA,2018,2698
MA,2019,2957
MA,2020,3002
MI,1995,2416
MI,1996,2428
MI,1997,2427
MI,1998,2367
MI,1999,2454
MI,2000,2436
MI,2001,2387
MI,2002,2415
MI,2003,2343
MI,2004,2427
MI,2005,2081
MI,2006,2055
MI,2007,2161
MI,2008,2083
MI,2009,2075
MI,2010,2119
MI,2011,2332
MI,2012,2629
MI,2013,2276
MI,2014,2319
MI,2015,2512
MI,2016,2911
MI,2017,2714
MI,2018,2800
MI,2019,2803
MI,2020,3021
MN,1995,2337
MN,1996,2386
MN,1997,2399
MN,1998,2323
MN,1999,2401
MN,2000,2401
MN,2001,2355
MN,2002,2342
MN,2003,2310
MN,2004,2379
MN,2005,2097
MN,2006,2095
MN,2007,2107
MN,2008,2071
MN,2009,2114
MN,2010,2076
MN,2011,2296
MN,2012,2608
MN,2013,2290
MN,2014,2323
MN,2015,2655
MN,2016,2850
MN,2017,2678
MN,2018,2646
MN,2019,2680
MN,2020,3003
MS,1995,3481
MS,1996,3537
MS,1997,3578
MS,1998,3490
MS,1999,3547
MS,2000,3535
MS,2001,3518
MS,2002,3594
MS,2003,3447
MS,2004,3481
MS,2005,3020
MS,2006,3106
MS,2007,3067
MS,2008,3107
MS,2009,3134
MS,2010,3168
MS,2011,3595
MS,2012,3574
MS,2013,3510
MS,2014,3697
MS,2015,3646
MS,2016,3837
MS,2017,3846
MS,2018,3805
MS,2019,3994
MS,2020,4068
MO,1995,2946
MO,1996,2978
MO,1997,3004
MO,1998,2916
MO,1999,2996
MO,2000,3004
MO,2001,2939
MO,2002,2973
MO,2003,2875
MO,2004,2923
MO,2005,2599
MO,2006,2551
MO,2007,2582
MO,2008,2512
MO,2009,2560
MO,2010,2608
MO,2011,2875
MO,2012,3137
MO,2013,2801
MO,2014,2981
MO,2015,3128
MO,2016,3544
MO,2017,3588
MO,2018,3486
MO,2019,3515
MO,2020,3742
MT,1995,2360
MT,1996,2404
MT,1997,2444
MT,1998,2321
MT,1999,2382
MT,2000,2432
MT,2001,2387
MT,2002,2364
MT,2003,2366
MT,2004,2449
MT,2005,2286
MT,2006,2380
MT,2007,2395
MT,2008,2288
MT,2009,2338
MT,2010,2178
MT,2011,2449
MT,2012,2763
MT,2013,2601
MT,2014,2695
MT,2015,2856
MT,2016,2936
MT,2017,2910
MT,2018,2790
MT,2019,2814
MT,2020,3209
NE,1995,2782
NE,1996,2828
NE,1997,2847
NE,1998,2736
NE,1999,2814
NE,2000,2855
NE,2001,2784
NE,2002,2778
NE,2003,2739
NE,2004,2797
NE,2005,2597
NE,2006,2581
NE,2007,2561
NE,2008,2600
NE,2009,2585
NE,2010,2573
NE,2011,2881
NE,2012,3313
NE,2013,2829
NE,2014,2970
NE,2015,3020
NE,2016,3427
NE,2017,3536
NE,2018,3190
NE,2019,3246
NE,2020,3663
NV,1995,3201
NV,1996,3229
NV,1997,3268
NV,1998,3043
NV,1999,3160
NV,2000,3250
NV,2001,3190
NV,2002,3142
NV,2003,3125
NV,2004,3165
NV,2005,3076
NV,2006,3127
