State,Year,UV_Irradiance,Median_age_years,Percent_Male,Percent_White,Percent_BA_or_higher,Percent_unemployed,Per_capita_income_dollars,Population,Violent_crime,Murder,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Hate_crime,NO2,PM10,PM25,SO2,Region,Violent_crime_per_100K,Property_crime_per_100K,Hate_crime_per_100K
AL,2000,3520,36.0,47.9,71.65,20.0,6.4,40778.0,4447100.0,21620.0,329.0,1482.0,5702.0,14107.0,180539.0,40331.0,127399.0,12809.0,0.0,,123.8,14.5,149.0,South,486.159519686987,4059.701828157676,0.0
AL,2001,3512,36.2,48.16,71.33,19.4,7.6,18368.0,4464356.0,19582.0,379.0,1369.0,5584.0,12250.0,173253.0,40642.0,119992.0,12619.0,0.0,,99.0,10.6,63.0,South,438.62989421094557,3880.8061005887525,0.0
AL,2002,3585,36.4,48.22,71.04,20.6,7.7,18938.0,4486508.0,19931.0,303.0,1664.0,5962.0,12002.0,180400.0,42578.0,123932.0,13890.0,2.0,,94.3,10.4,50.0,South,444.24305049717947,4020.9445742657763,0.0445780994929687
AL,2003,3441,36.9,48.05,71.11,21.2,8.7,19003.0,4500752.0,19331.0,299.0,1656.0,6038.0,11338.0,182241.0,43245.0,124039.0,14957.0,1.0,,106.3,12.2,53.0,South,429.5060025524623,4049.1233464985407,0.02221850926245214
AL,2004,3487,37.0,48.07,71.07,21.9,7.1,20476.0,4525375.0,19324.0,254.0,1742.0,6042.0,11286.0,182340.0,44666.0,123650.0,14024.0,3.0,,101.8,11.4,56.0,South,427.0143358285225,4029.279341491036,0.06629284865895091
AL,2005,2940,37.4,48.24,70.99,21.4,7.2,21168.0,4557808.0,19678.0,374.0,1564.0,6447.0,11293.0,177393.0,43473.0,120780.0,13140.0,0.0,,91.5,11.7,70.0,South,431.7426271576161,3892.0682924774364,0.0
AL,2006,3100,37.2,48.5,70.41,21.1,6.9,21270.0,4599030.0,19557.0,382.0,1649.0,7059.0,10467.0,181021.0,44571.0,121610.0,14840.0,0.0,,91.3,11.2,70.0,South,425.2418444759004,3936.0691276203897,0.0
AL,2007,3074,37.3,48.4,71.2,21.4,4.0,22366.0,4627851.0,20732.0,412.0,1545.0,7398.0,11377.0,183798.0,45331.0,124237.0,14230.0,7.0,,114.3,10.4,50.0,South,447.98330801920804,3971.5626108100714,0.1512581109460957
AL,2008,3142,37.4,48.5,70.3,22.0,4.2,23336.0,4677464.0,21109.0,357.0,1618.0,7344.0,11790.0,190292.0,50379.0,126461.0,13452.0,11.0,,83.8,9.9,69.0,South,451.29155456888606,4068.2728931745914,0.23517016913438565
AL,2009,3054,37.4,48.4,70.0,22.0,6.7,22349.0,4708708.0,21179.0,323.0,1504.0,6259.0,13093.0,177629.0,48837.0,117711.0,11081.0,9.0,,67.5,10.1,41.0,South,449.78367739091055,3772.351141756932,0.19113523284943557
AL,2010,3160,37.8,48.5,69.47,21.9,7.0,21993.0,4785401.0,18363.0,275.0,1355.0,4864.0,11869.0,168828.0,42484.0,115564.0,10780.0,19.0,,71.5,10.2,33.0,South,383.7295975823134,3527.980204793705,0.3970409167382211
AL,2011,3572,38.1,48.4,69.09,22.3,6.8,22711.0,4802740.0,20174.0,301.0,1371.0,4910.0,13592.0,173190.0,51117.0,111411.0,10662.0,83.0,,57.8,10.0,31.0,South,420.0518870478102,3606.066537018452,1.7281801638231509
AL,2012,3456,38.2,48.5,69.13,23.3,5.8,22815.0,4817528.0,21693.0,342.0,1296.0,5020.0,15035.0,168878.0,47481.0,111523.0,9874.0,6.0,,49.4,9.2,36.0,South,450.2931794065338,3505.4907828247183,0.12454520243577205
AL,2013,3408,38.3,48.4,68.9,23.5,5.6,23384.0,4833722.0,20210.0,347.0,1428.0,4648.0,13787.0,161993.0,42429.0,108993.0,10571.0,6.0,,46.0,8.4,22.0,South,418.1043096810284,3351.309818810432,0.12412794943523851
AL,2014,3739,38.6,48.4,68.47,23.5,4.9,23606.0,4846411.0,20727.0,276.0,3430.0,4702.0,13744.0,154087.0,39723.0,104223.0,10141.0,9.0,,73.0,8.9,17.0,South,427.67730594867004,3179.4043055778798,0.18570443158865393
AL,2015,3677,38.7,48.4,68.53,24.2,4.1,24769.0,4858979.0,22952.0,348.0,3495.0,4611.0,15954.0,144746.0,35255.0,99156.0,10335.0,10.0,,61.5,8.6,17.0,South,472.3626095111751,2978.938579483468,0.20580455276715542
AL,2016,3952,39.0,48.4,68.19,24.7,3.6,25810.0,4860545.0,25878.0,407.0,1915.0,4687.0,18869.0,143259.0,34045.0,97498.0,11716.0,14.0,,47.5,7.2,11.0,South,532.4094314526458,2947.3855298119865,0.28803354356353045
AL,2017,3907,38.9,48.4,67.96,25.5,3.3,26498.0,4874747.0,25551.0,404.0,2028.0,4217.0,18902.0,144160.0,31477.0,99842.0,12841.0,14.0,,43.3,7.4,12.0,South,524.1502789785808,2957.2816804646477,0.2871943918320274
AL,2018,3818,39.3,48.5,67.65,25.5,3.2,27525.0,4887681.0,25567.0,383.0,2032.0,4047.0,19105.0,138702.0,29101.0,96328.0,13273.0,1.0,,47.0,7.1,11.0,South,523.090602680494,2837.787490632061,0.020459600370809797
AL,2019,4023,39.4,48.3,67.84,26.3,2.8,28650.0,4903185.0,25046.0,358.0,2068.0,3941.0,18679.0,131133.0,26079.0,92477.0,12577.0,2.0,,58.0,7.5,10.0,South,510.81083010328996,2674.445284034765,0.040789813152063405
AK,2000,1385,32.6,51.14,70.65,26.0,7.8,59060.0,626932.0,3554.0,27.0,497.0,490.0,2540.0,23087.0,3899.0,16838.0,2350.0,4.0,,,5.8,,West,566.8876369367013,3682.5365430381603,0.6380277286850886
AK,2001,1349,32.6,51.19,69.37,25.8,6.9,24327.0,634892.0,3735.0,39.0,501.0,514.0,2681.0,23160.0,3847.0,16695.0,2618.0,20.0,,,6.2,,West,588.2890318353358,3647.864518689793,3.15014207140742
AK,2002,1394,34.2,51.12,69.25,28.0,9.6,24830.0,643786.0,3627.0,33.0,511.0,489.0,2594.0,24118.0,3908.0,17739.0,2471.0,7.0,,,5.8,,West,563.385969871976,3746.275936413653,1.0873178354297857
AK,2003,1347,33.2,51.09,69.55,26.6,10.8,24361.0,648818.0,3850.0,39.0,600.0,444.0,2767.0,24280.0,3855.0,17977.0,2448.0,13.0,,,6.6,,West,593.3867432777758,3742.1896433206234,2.0036435487301523
AK,2004,1746,33.4,50.8,68.97,27.2,9.4,25466.0,657755.0,4159.0,37.0,558.0,447.0,3117.0,22172.0,3773.0,16159.0,2240.0,9.0,,,6.9,,West,632.3023010087343,3370.859970657768,1.368290624928735
AK,2005,1476,33.9,50.75,69.17,27.3,8.6,26310.0,663661.0,4194.0,32.0,538.0,537.0,3087.0,23975.0,4131.0,17249.0,2595.0,4.0,,,6.7,,West,631.9491427099076,3612.5371236218493,0.602717351177785
AK,2006,1360,33.5,51.45,68.68,26.9,9.4,26919.0,670053.0,4610.0,36.0,509.0,605.0,3460.0,24155.0,4136.0,17490.0,2529.0,6.0,,,6.9,,West,688.0052771944905,3604.9387138032366,0.8954515538323089
AK,2007,1400,33.3,52.3,73.1,26.0,6.0,28891.0,683478.0,4519.0,44.0,529.0,583.0,3363.0,23098.0,3682.0,16998.0,2418.0,8.0,,,5.2,,West,661.1770971413857,3379.479661379006,1.1704839073093793
AK,2008,1366,33.0,52.1,69.1,27.3,5.4,31175.0,688125.0,4479.0,27.0,445.0,644.0,3363.0,20097.0,3232.0,15235.0,1630.0,8.0,,,5.9,,West,650.899182561308,2920.5449591280653,1.1625794732061763
AK,2009,1558,32.6,51.6,68.3,26.6,6.5,29504.0,698473.0,4421.0,22.0,512.0,655.0,3232.0,20577.0,3597.0,15291.0,1689.0,9.0,,,7.0,,West,632.9521685161774,2945.9979125893196,1.2885251112068756
AK,2010,1416,33.8,52.2,67.43,27.9,6.6,30598.0,714146.0,4537.0,31.0,533.0,594.0,3379.0,20259.0,3105.0,15535.0,1619.0,7.0,,,6.8,,West,635.3042655143346,2836.8148809907216,0.9801917255015081
AK,2011,1515,33.9,51.6,66.79,26.4,6.0,31405.0,722718.0,4383.0,29.0,420.0,576.0,3358.0,19028.0,2826.0,14859.0,1343.0,8.0,,,5.8,,West,606.4606111927473,2632.8388112652515,1.106932441145786
AK,2012,1465,33.8,52.1,66.52,28.0,5.3,31890.0,730307.0,4412.0,30.0,583.0,630.0,3169.0,20037.0,2950.0,15565.0,1522.0,6.0,,,6.2,,West,604.1294962255599,2743.6406880941854,0.821572297677552
AK,2013,1560,33.1,52.6,66.35,28.0,6.0,32474.0,735132.0,4430.0,34.0,644.0,624.0,3128.0,21210.0,2916.0,16599.0,1695.0,8.0,,,5.6,,West,602.6128640842734,2885.1961280423106,1.0882399351409
AK,2014,1627,33.3,52.3,65.64,28.0,5.1,33062.0,737046.0,4684.0,41.0,1324.0,629.0,3243.0,20334.0,3150.0,15445.0,1739.0,6.0,,,7.0,,West,635.5098596288426,2758.8508722657743,0.8140604521291751
AK,2015,1722,33.3,52.6,65.18,29.7,5.3,34352.0,738432.0,5392.0,59.0,1551.0,761.0,3671.0,20806.0,3511.0,15249.0,2046.0,8.0,,,6.5,,West,730.1958745016468,2817.5918703414804,1.0833766684000694
AK,2016,1848,33.5,52.6,64.42,29.6,5.4,34187.0,741522.0,5966.0,52.0,1053.0,850.0,4011.0,24876.0,4053.0,17766.0,3057.0,11.0,,,6.1,,West,804.5614290607696,3354.721774943967,1.4834354206618279
AK,2017,1786,34.5,52.1,64.19,28.8,4.9,34222.0,739795.0,6133.0,62.0,863.0,951.0,4257.0,26204.0,4171.0,17775.0,4258.0,4.0,,,5.6,,West,829.0134429132395,3542.062328077373,0.5406903263741982
AK,2018,1866,34.9,51.9,64.35,30.2,4.4,35735.0,735139.0,6555.0,47.0,1212.0,896.0,4400.0,24345.0,3985.0,16364.0,3996.0,5.0,,,5.0,,West,891.6681063037057,3311.6186190638778,0.6801434830691883
AK,2019,1996,35.0,52.0,64.22,30.2,3.6,36978.0,731545.0,6343.0,69.0,1088.0,826.0,4360.0,21294.0,3563.0,15114.0,2617.0,11.0,,,7.4,,West,867.0690114757124,2910.8257181718145,1.5036668967732676
AZ,2000,3753,34.3,49.5,78.67,22.5,6.3,45840.0,5130632.0,27281.0,359.0,1577.0,7504.0,17841.0,271811.0,51902.0,176705.0,43204.0,281.0,29.0,113.0,9.5,177.0,West,531.7278651051176,5297.807365642283,5.476908108006967
AZ,2001,3688,33.7,49.3,76.19,23.3,6.8,20215.0,5307331.0,28675.0,400.0,1518.0,8868.0,17889.0,293874.0,54821.0,186850.0,52203.0,386.0,27.0,87.0,8.5,267.0,West,540.2904020872261,5537.133448055152,7.272958856344177
AZ,2002,3754,34.2,49.69,74.91,23.2,8.1,20663.0,5456453.0,30171.0,387.0,1608.0,8000.0,20176.0,318296.0,59087.0,201541.0,57668.0,241.0,29.0,101.8,9.8,232.0,West,552.9416270973103,5833.386634137599,4.4167887087087525
AZ,2003,3634,33.9,49.65,76.78,24.3,7.8,20939.0,5580811.0,28638.0,441.0,1856.0,7619.0,18722.0,314335.0,58613.0,198725.0,56997.0,247.0,28.0,142.5,9.2,280.0,West,513.1512247951059,5632.425108107047,4.425880037865464
AZ,2004,3670,34.1,49.57,77.37,24.7,6.7,22105.0,5739879.0,28952.0,414.0,1896.0,7721.0,18921.0,291203.0,56885.0,179012.0,55306.0,225.0,24.0,86.5,8.4,292.0,West,504.4008767432205,5073.329943017962,3.919943260127958
AZ,2005,3603,34.5,49.79,76.17,25.6,6.3,23365.0,5939292.0,30478.0,445.0,2006.0,8579.0,19448.0,287345.0,56328.0,176112.0,54905.0,194.0,25.0,107.0,8.8,295.0,West,513.1588074807569,4838.034567083079,3.2663825924032692
AZ,2006,3569,34.6,50.04,76.89,25.5,4.9,24110.0,6166318.0,30916.0,465.0,1941.0,9226.0,19284.0,285370.0,57055.0,173466.0,54849.0,169.0,24.0,133.2,9.1,241.0,West,501.36888820849003,4627.883284644094,2.740695500945621
AZ,2007,3576,34.9,50.1,78.3,25.3,3.6,24811.0,6338755.0,30600.0,468.0,1856.0,9618.0,18658.0,279794.0,57825.0,173580.0,48389.0,161.0,22.0,125.2,9.4,322.0,West,482.7446399174601,4414.021365394308,2.5399309485853294
AZ,2008,3716,35.1,50.1,80.1,25.1,3.8,25415.0,6499377.0,31274.0,454.0,2193.0,9757.0,18870.0,265682.0,58125.0,169346.0,38211.0,185.0,20.0,105.6,9.4,257.0,West,481.1845812298625,4087.8071852117514,2.846426665201911
AZ,2009,3679,34.9,50.1,80.0,25.6,6.6,23747.0,6595778.0,26929.0,354.0,2110.0,8099.0,16366.0,234582.0,53412.0,155184.0,25986.0,219.0,19.0,131.1,8.8,274.0,West,408.27632464282453,3556.547840148653,3.3203058077455
AZ,2010,3550,35.9,49.7,79.44,25.9,7.2,23618.0,6413158.0,26528.0,408.0,2191.0,6953.0,16976.0,226802.0,50932.0,154137.0,21733.0,236.0,18.0,72.2,7.3,314.0,West,413.6495623529001,3536.5104056379087,3.6799342851057153
AZ,2011,4049,36.2,49.8,79.31,26.6,6.7,23793.0,6482505.0,26311.0,405.0,2264.0,7127.0,16515.0,230422.0,54929.0,155664.0,19829.0,193.0,19.0,248.8,9.8,189.0,West,405.8770490728507,3554.520976073293,2.9772441363330997
AZ,2012,4191,36.6,49.8,78.8,27.3,5.9,24600.0,6551149.0,28077.0,358.0,2282.0,7383.0,18054.0,231701.0,52911.0,159808.0,18982.0,176.0,20.0,167.8,9.1,353.0,West,428.5813068821973,3536.7994225135158,2.686551626287236
AZ,2013,4161,36.8,49.8,78.98,27.4,5.3,25164.0,6626624.0,26892.0,357.0,2343.0,6702.0,17490.0,225243.0,48533.0,159272.0,17438.0,201.0,19.0,179.9,7.8,256.0,West,405.8175022454873,3399.061120715465,3.033218724949537
AZ,2014,4174,36.9,49.7,78.34,27.6,4.7,25715.0,6728783.0,26422.0,311.0,5628.0,6225.0,16614.0,213406.0,43412.0,152683.0,17311.0,265.0,19.0,146.2,7.9,236.0,West,392.6713047515428,3171.539340769348,3.938305039707775
AZ,2015,4202,37.4,49.6,77.42,27.7,4.0,26721.0,6828065.0,28012.0,309.0,5402.0,6360.0,18235.0,207107.0,37957.0,152365.0,16785.0,276.0,17.0,84.1,7.2,246.0,West,410.2479985178817,3033.1726484736155,4.042140782198177
AZ,2016,4428,37.5,49.7,75.82,28.9,3.8,27997.0,6908642.0,32542.0,389.0,3304.0,7045.0,21804.0,207317.0,38216.0,150618.0,18483.0,217.0,17.0,114.4,7.6,359.0,West,471.0332363436982,3000.835764829036,3.1409935556076
AZ,2017,4451,37.7,49.7,77.57,29.4,3.5,29420.0,7016270.0,35644.0,416.0,3581.0,7440.0,24207.0,204515.0,37627.0,147830.0,19058.0,264.0,18.0,126.0,7.6,280.0,West,508.01921818858176,2914.867871390354,3.762683021035394
AZ,2018,4277,38.0,49.7,77.95,29.7,3.2,30530.0,7158024.0,34053.0,383.0,3605.0,6509.0,23556.0,192730.0,31787.0,141789.0,19154.0,169.0,17.0,218.9,8.1,208.0,West,475.73185001894376,2692.5028471544665,2.360986775121179
AZ,2019,4457,38.3,49.7,78.34,30.2,3.0,32173.0,7278717.0,33141.0,365.0,3662.0,6410.0,22704.0,177638.0,28699.0,130788.0,18151.0,209.0,15.0,74.6,6.6,191.0,West,455.3137592792795,2440.512524391318,2.8713851630720084
AR,2000,3340,36.3,48.51,80.05,16.7,6.4,39592.0,2673400.0,11904.0,168.0,848.0,2001.0,8887.0,98115.0,21443.0,69740.0,6932.0,3.0,15.0,48.0,15.5,,South,445.27567891075034,3670.0456347722,0.11221665295129797
AR,2001,3278,36.2,48.4,80.78,18.0,6.7,17190.0,2692090.0,12190.0,148.0,892.0,2181.0,8969.0,99106.0,22196.0,69590.0,7320.0,3.0,15.0,51.0,14.7,,South,452.80804133591374,3681.3776656798245,0.11143758195305506
AR,2002,3347,36.7,48.47,80.05,19.7,7.3,18048.0,2710079.0,11501.0,142.0,754.0,2524.0,8081.0,101171.0,23229.0,71129.0,6813.0,0.0,15.0,56.0,13.2,,South,424.3787727221236,3733.1384066663736,0.0
AR,2003,3223,36.3,48.87,79.33,19.0,7.5,18556.0,2725714.0,12431.0,174.0,903.0,2228.0,9126.0,98710.0,24903.0,67797.0,6010.0,173.0,14.0,48.0,12.9,,South,456.06398910523995,3621.4364383057064,6.346960833014762
AR,2004,3257,36.6,48.95,79.38,18.1,7.8,18704.0,2750000.0,13814.0,176.0,1183.0,2372.0,10083.0,110911.0,30151.0,74242.0,6518.0,83.0,14.0,51.0,12.2,,South,502.3272727272727,4033.127272727273,3.018181818181818
AR,2005,2864,37.0,48.67,79.03,18.9,6.9,19325.0,2779154.0,14659.0,186.0,1193.0,2531.0,10749.0,112775.0,30143.0,75348.0,7284.0,135.0,12.0,48.0,14.7,,South,527.4626738928465,4057.889559196791,4.85759335394872
AR,2006,2876,37.1,49.01,78.56,18.2,7.0,19758.0,2810872.0,15506.0,205.0,1308.0,2766.0,11227.0,111521.0,32042.0,72016.0,7463.0,113.0,12.0,37.0,12.2,,South,551.6437603704474,3967.4876693068913,4.02010479310335
AR,2007,2816,37.0,48.9,79.9,19.3,4.3,20708.0,2834797.0,15007.0,191.0,1268.0,3024.0,10524.0,112061.0,32072.0,72979.0,7010.0,33.0,11.0,41.0,12.8,,South,529.3853492860335,3953.0520174813228,1.1641045196534354
AR,2008,2852,37.3,49.0,78.7,18.8,4.0,21123.0,2867764.0,14472.0,164.0,1425.0,2756.0,10127.0,109752.0,33772.0,69482.0,6498.0,92.0,9.0,36.0,11.6,,South,504.6440362596085,3827.09316387262,3.2080743045801534
AR,2009,2858,37.1,48.9,78.4,18.9,5.5,20612.0,2889450.0,14959.0,179.0,1368.0,2582.0,10830.0,109038.0,34764.0,68171.0,6103.0,75.0,9.0,30.0,10.8,,South,517.7109830590597,3773.6593469345376,2.595649691117687
AR,2010,2915,37.3,49.0,78.37,19.5,5.8,20725.0,2921588.0,14711.0,134.0,1321.0,2369.0,10887.0,103820.0,32463.0,65796.0,5561.0,63.0,10.0,36.0,12.3,,South,503.52753365635397,3553.546906682256,2.1563615403677727
AR,2011,3322,37.5,49.3,78.16,20.3,5.5,21203.0,2937979.0,14129.0,162.0,1213.0,2428.0,10326.0,110295.0,34471.0,70012.0,5812.0,36.0,10.0,41.0,12.0,,South,480.9088152093667,3754.111244498344,1.225332107547399
AR,2012,3433,37.6,49.1,78.26,21.0,5.0,21643.0,2949828.0,13851.0,174.0,1233.0,2310.0,10134.0,109389.0,32673.0,70982.0,5734.0,51.0,11.0,36.0,11.3,,South,469.552801044671,3708.3179087051853,1.7289143638205346
AR,2013,3276,37.8,49.4,77.91,20.6,4.7,21927.0,2959373.0,13191.0,159.0,993.0,2258.0,9781.0,106613.0,30485.0,70450.0,5678.0,27.0,10.0,61.0,10.4,,South,445.73630968451766,3602.5536490330887,0.9123554212328084
AR,2014,3363,37.8,49.1,78.29,21.4,3.9,22883.0,2966835.0,14248.0,175.0,3107.0,2037.0,10220.0,99452.0,24816.0,69001.0,5635.0,10.0,9.0,45.0,10.2,,South,480.24241321138516,3352.1244019300025,0.33705952639765946
AR,2015,3469,37.9,49.1,77.5,21.8,3.3,23589.0,2978204.0,15526.0,181.0,3231.0,2098.0,11316.0,96836.0,22640.0,68424.0,5772.0,5.0,9.0,47.0,9.7,,South,521.3209034706823,3251.489824068465,0.16788641745159164
AR,2016,3680,38.0,49.2,76.64,22.4,2.9,24264.0,2988231.0,16563.0,217.0,2214.0,2125.0,12007.0,98092.0,23814.0,67091.0,7187.0,12.0,8.0,44.0,9.4,,South,554.274418543948,3282.6110163504763,0.40157538021658973
AR,2017,3816,38.1,49.3,76.33,23.4,3.2,25316.0,3004279.0,16671.0,258.0,2053.0,1935.0,12425.0,92489.0,21862.0,63374.0,7253.0,24.0,8.0,36.0,9.2,,South,554.9085154874097,3078.575591681066,0.7988605585566454
AR,2018,3729,38.1,49.0,76.52,23.3,2.6,26626.0,3009733.0,16904.0,222.0,2341.0,1593.0,12748.0,89177.0,19520.0,62350.0,7307.0,22.0,7.0,51.0,9.3,,South,561.6445046786542,2962.9538567042327,0.7309618494398008
AR,2019,3686,38.8,48.9,76.71,23.3,2.8,27274.0,3017804.0,17643.0,242.0,2331.0,1557.0,13513.0,86250.0,18095.0,60735.0,7420.0,14.0,8.0,36.0,9.5,,South,584.6304133734332,2858.0384942163246,0.4639134947133744
CA,2000,3160,33.3,49.46,67.87,27.5,6.1,53096.0,33871648.0,210531.0,2079.0,9785.0,60249.0,138418.0,1056183.0,222293.0,651855.0,182035.0,1943.0,16.0,46.3,11.2,15.0,West,621.5552310888446,3118.1919462554642,5.736360982494858
CA,2001,3119,33.0,49.44,66.28,28.2,6.9,23724.0,34501130.0,212855.0,2206.0,9961.0,64545.0,136143.0,1133702.0,232000.0,697669.0,204033.0,2246.0,16.0,66.7,11.6,18.0,West,616.9508071184915,3285.9851257045784,6.5099317036862265
CA,2002,3084,33.6,49.47,63.29,28.5,8.1,24026.0,35116033.0,208388.0,2395.0,10198.0,64968.0,130827.0,1176484.0,238428.0,715692.0,222364.0,1648.0,16.0,61.0,12.9,18.0,West,593.4269397685097,3350.275926668596,4.693013017728967
CA,2003,3065,34.1,49.56,66.22,29.1,8.5,24420.0,35484453.0,205551.0,2407.0,9994.0,63770.0,129380.0,1215086.0,242274.0,731486.0,241326.0,1472.0,15.0,37.3,9.4,17.0,West,579.2705892915977,3424.2771052438093,4.148295593002378
CA,2004,3115,34.2,49.55,63.04,29.4,7.6,25411.0,35842038.0,189175.0,2392.0,9615.0,61768.0,115400.0,1227194.0,245903.0,728687.0,252604.0,1393.0,14.0,42.0,10.0,19.0,West,527.8020184008509,3423.8957059305612,3.886497748816627
CA,2005,3058,34.4,49.6,60.92,29.5,7.2,26800.0,36132147.0,190178.0,2503.0,9392.0,63622.0,114661.0,1200531.0,250521.0,692467.0,257543.0,1380.0,13.0,35.3,9.1,18.0,West,526.3401590832674,3322.611855863423,3.819313587980255
CA,2006,3057,34.4,49.99,59.82,29.0,6.6,26974.0,36457549.0,194119.0,2484.0,9212.0,70968.0,111455.0,1156017.0,246464.0,666860.0,242693.0,1297.0,13.0,52.3,9.6,20.0,West,532.4521404332475,3170.8577008289835,3.557562248630592
CA,2007,3226,34.7,50.0,62.4,29.5,4.2,28678.0,36553215.0,191025.0,2260.0,9013.0,70542.0,109210.0,1108660.0,237025.0,652243.0,219392.0,1400.0,12.0,51.0,8.6,17.0,West,522.5942506014861,3033.0027057811467,3.8300324608929746
CA,2008,3257,34.9,50.0,62.5,29.6,4.9,29388.0,36580371.0,185173.0,2142.0,8903.0,69385.0,104743.0,1080766.0,237724.0,650513.0,192529.0,1382.0,12.0,36.0,9.6,16.0,West,506.20864397466056,2954.4970990042716,3.7779824594999325
CA,2009,3208,34.9,50.1,62.7,29.9,7.3,27885.0,36961664.0,174459.0,1972.0,8713.0,64093.0,99681.0,1009614.0,230137.0,615456.0,164021.0,1018.0,11.0,31.3,9.0,11.0,West,471.99985368624095,2731.516633017388,2.75420500548893
CA,2010,2955,35.2,49.7,62.45,30.1,8.2,27353.0,37338198.0,164133.0,1809.0,8331.0,58116.0,95877.0,981939.0,228857.0,600558.0,152524.0,1092.0,10.0,32.0,8.4,11.0,West,439.58468483133544,2629.851071013122,2.9246189117107364
CA,2011,3367,35.4,49.7,62.87,30.3,7.8,27859.0,37691912.0,154944.0,1792.0,7663.0,54292.0,91197.0,973901.0,230090.0,596963.0,146848.0,1040.0,11.0,34.3,8.5,9.0,West,411.08023387086337,2583.846104702781,2.7592126395710572
CA,2012,3600,35.5,49.7,62.11,30.9,7.2,28341.0,37999878.0,160944.0,1884.0,7837.0,56521.0,94702.0,1049465.0,245767.0,635090.0,168608.0,910.0,10.0,37.0,7.5,8.0,West,423.538201885806,2761.7588666995193,2.394744530495598
CA,2013,3776,35.7,49.8,61.93,31.0,6.3,29513.0,38332521.0,151879.0,1746.0,7464.0,53640.0,89029.0,1018907.0,232058.0,621557.0,165292.0,842.0,11.0,34.7,9.2,9.0,West,396.2144832582235,2658.0745889371588,2.196568287277531
CA,2014,3852,36.0,49.6,61.37,31.7,5.3,30441.0,38792291.0,153763.0,1700.0,19967.0,48681.0,91804.0,947193.0,202669.0,592673.0,151851.0,759.0,10.0,31.3,7.2,11.0,West,396.3751457731641,2441.704203549102,1.9565743100865063
CA,2015,3899,36.2,49.7,60.86,32.3,4.6,31587.0,39144818.0,166883.0,1861.0,22198.0,52862.0,99349.0,1024914.0,197404.0,656517.0,170993.0,837.0,9.0,29.3,7.7,8.0,West,426.32207409930993,2618.2622690952353,2.1382140542842736
CA,2016,4131,36.4,49.7,59.67,32.9,4.1,33389.0,39296476.0,174796.0,1930.0,13702.0,54789.0,104375.0,1002070.0,188304.0,637010.0,176756.0,931.0,8.0,22.0,7.3,8.0,West,444.81342296444086,2550.025096397957,2.3691691845345115
CA,2017,4047,36.5,49.7,58.63,33.6,3.7,35046.0,39536653.0,177627.0,1830.0,14721.0,56622.0,104454.0,987114.0,176690.0,642033.0,168391.0,1094.0,9.0,42.2,9.8,8.0,West,449.27171756294086,2496.706031236382,2.7670526384719514
CA,2018,3969,36.7,49.7,59.5,34.2,3.5,37124.0,39461588.0,176604.0,1739.0,15506.0,54328.0,105031.0,941644.0,164645.0,621779.0,155220.0,1065.0,9.0,53.7,11.7,9.0,West,447.5339411074891,2386.229363096082,2.698827021355552
CA,2019,4076,37.0,49.7,59.44,35.0,3.2,39393.0,39512223.0,174331.0,1690.0,14799.0,52301.0,105541.0,921114.0,152555.0,626802.0,141757.0,1015.0,8.0,33.7,7.0,9.0,West,441.2077751231562,2331.2127996443023,2.5688253480448315
CO,2000,3390,34.6,49.84,85.46,32.9,4.1,55669.0,4301261.0,14367.0,134.0,1774.0,3034.0,9425.0,156937.0,27133.0,112843.0,16961.0,101.0,26.0,50.0,9.7,64.0,West,334.0183262536265,3648.6276931346415,2.348148601073034
CO,2001,3302,34.4,49.88,85.18,33.8,5.1,24637.0,4417714.0,15492.0,158.0,1930.0,3555.0,9849.0,170887.0,28533.0,121360.0,20994.0,126.0,31.0,65.0,10.5,73.0,West,350.67910688650284,3868.2223430489157,2.8521538515168707
CO,2002,3310,34.7,49.99,82.9,33.5,7.0,24819.0,4506542.0,15882.0,179.0,2066.0,3579.0,10058.0,180054.0,31678.0,125193.0,23183.0,96.0,28.0,60.0,9.5,73.0,West,352.4209915274283,3995.3915884951257,2.1302364429311877
CO,2003,3242,34.5,50.26,83.76,34.7,6.9,26175.0,4550688.0,15706.0,177.0,1893.0,3735.0,9901.0,179340.0,32370.0,124271.0,22699.0,86.0,28.0,51.0,9.5,58.0,West,345.13462579724205,3940.9425563782884,1.8898241320872802
CO,2004,3320,34.5,50.19,83.48,33.7,7.1,25945.0,4601821.0,17121.0,201.0,1945.0,3739.0,11236.0,180322.0,33010.0,123308.0,24004.0,60.0,24.0,74.0,8.5,40.0,West,372.0483695476204,3918.4922664310498,1.3038316788071505
CO,2005,3426,34.7,50.05,83.49,35.5,6.2,27081.0,4665177.0,18498.0,173.0,2026.0,3948.0,12351.0,188449.0,34746.0,127602.0,26101.0,125.0,24.0,61.5,8.8,39.0,West,396.51228667208125,4039.4823176055274,2.679426739864318
CO,2006,3453,35.4,50.35,82.78,34.3,5.5,27750.0,4753377.0,18616.0,158.0,2076.0,3835.0,12547.0,164054.0,32422.0,110837.0,20795.0,140.0,24.0,50.0,8.1,33.0,West,391.6373559261132,3451.314717936322,2.945274485907598
