data_year,state_abbr,incident_id
2000,AK,4
2000,AR,3
2000,AZ,281
2000,CA,1943
2000,CO,101
2000,CT,156
2000,DC,5
2000,DE,34
2000,FL,240
2000,GA,35
2000,IA,34
2000,ID,46
2000,IL,183
2000,IN,114
2000,KS,75
2000,KY,76
2000,LA,12
2000,MA,470
2000,MD,218
2000,ME,28
2000,MI,423
2000,MN,169
2000,MO,70
2000,MS,2
2000,MT,19
2000,NB,17
2000,NC,39
2000,ND,5
2000,NH,32
2000,NJ,652
2000,NM,15
2000,NV,85
2000,NY,608
2000,OH,255
2000,OK,80
2000,OR,142
2000,PA,141
2000,RI,48
2000,SC,36
2000,SD,8
2000,TN,236
2000,TX,287
2000,UT,75
2000,VA,324
2000,VT,19
2000,WA,242
2000,WI,47
2000,WV,74
2000,WY,9
2001,AK,20
2001,AR,3
2001,AZ,386
2001,CA,2246
2001,CO,126
2001,CT,171
2001,DC,12
2001,DE,17
2001,FL,302
2001,GA,39
2001,IA,32
2001,ID,34
2001,IL,282
2001,IN,139
2001,KS,82
2001,KY,83
2001,LA,10
2001,MA,591
2001,MD,240
2001,ME,32
2001,MI,442
2001,MN,208
2001,MO,91
2001,MS,3
2001,MT,13
2001,NB,54
2001,NC,84
2001,ND,16
2001,NH,27
2001,NJ,767
2001,NM,20
2001,NV,94
2001,NY,712
2001,OH,363
2001,OK,46
2001,OR,222
2001,PA,141
2001,RI,63
2001,SC,57
2001,SD,5
2001,TN,190
2001,TX,436
2001,UT,66
2001,VA,357
2001,VT,17
2001,WA,278
2001,WI,61
2001,WV,40
2001,WY,10
2002,AK,7
2002,AL,2
2002,AZ,241
2002,CA,1648
2002,CO,96
2002,CT,140
2002,DC,14
2002,DE,13
2002,FL,257
2002,GA,31
2002,IA,47
2002,ID,43
2002,IL,158
2002,IN,78
2002,KS,56
2002,KY,79
2002,LA,15
2002,MA,427
2002,MD,217
2002,ME,36
2002,MI,421
2002,MN,203
2002,MO,65
2002,MS,3
2002,MT,13
2002,NB,56
2002,NC,62
2002,ND,18
2002,NH,30
2002,NJ,570
2002,NM,15
2002,NV,62
2002,NY,693
2002,OH,265
2002,OK,44
2002,OR,61
2002,PA,96
2002,RI,38
2002,SC,71
2002,SD,4
2002,TN,130
2002,TX,343
2002,UT,54
2002,VA,291
2002,VT,18
2002,WA,173
2002,WI,34
2002,WV,42
2002,WY,5
2003,AK,13
2003,AL,1
2003,AR,173
2003,AZ,247
2003,CA,1472
2003,CO,86
2003,CT,147
2003,DC,32
2003,DE,20
2003,FL,231
2003,GA,23
2003,IA,38
2003,ID,20
2003,IL,208
2003,IN,65
2003,KS,49
2003,KY,81
2003,LA,6
2003,MA,401
2003,MD,248
2003,ME,77
2003,MI,416
2003,MN,215
2003,MO,55
2003,MS,1
2003,MT,5
2003,NB,44
2003,NC,77
2003,ND,10
